country_of_birth_id,sacc_name,country_iso3_code,note
9111,Cote d'Ivoire,CIV,
9112,Equatorial Guinea,GNQ,
9113,Gabon,GAB,
9114,Gambia,GMB,
9115,Ghana,GHA,
9116,Guinea,GIN,
9117,Guinea-Bissau,GNB,
9118,Liberia,LBR,
9121,Mali,MLI,
9122,Mauritania,MRT,
9123,Niger,NER,
9124,Nigeria,NGA,
9125,Sao Tome and Principe,STP,
9126,Senegal,SEN,
9127,Sierra Leone,SLE,
9128,Togo,TGO,
9201,Angola,AGO,
9202,Botswana,BWA,
9203,Burundi,BDI,
9204,Comoros,COM,
9205,Djibouti,DJI,
9206,Eritrea,ERI,
9207,Ethiopia,ETH,
9208,Kenya,KEN,
9211,Lesotho,LSO,
9212,Madagascar,MDG,
9213,Malawi,MWI,
9214,Mauritius,MUS,
9215,Mayotte,MYT,
9216,Mozambique,MOZ,
9217,Namibia,NAM,
9218,Reunion,REU,
9221,Rwanda,RWA,
9222,St Helena,SHN,"Saint Helena, Ascension and Tristan da Cunha"
9223,Seychelles,SYC,
9224,Somalia,SOM,
9225,South Africa,ZAF,
9226,Eswatini,SWZ,
9227,Tanzania,TZA,"Tanzania, the United Republic of"
9228,Uganda,UGA,
9231,Zambia,ZMB,
9232,Zimbabwe,ZWE,
9299,"Southern and East Africa, nec",,Residual 'not elsewhere classified' category
0000,Inadequately Described,,"Inadequately described origin, not a country"
