msn,description,unit
CLOCK,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu,Million Btu per short ton
CLOCP,Coal consumed by industrial users other than coke plants,Thousand short tons
CLOCV,Coal expenditures in the industrial sector other than coke plants,Million dollars
CLOSB,Coal consumed by the industrial sector other than coke plants excluding refinery fuel,Billion Btu
CLPRB,Coal production,Billion Btu
CLPRK,Factor for converting coal production from physical units to Btu,Million Btu per short ton
CLPRP,Coal production,Thousand short tons
CLRCB,Coal consumed by the residential sector,Billion Btu
CLRCD,Coal price in the residential sector,Dollars per million Btu
CLRCE,Coal CO2 emissions for the residential sector (through 2008),Million metric tons CO2
CLRCP,Coal consumed by the residential sector,Thousand short tons
CLRCV,Coal expenditures in the residential sector,Million dollars
CLRFB,Coal consumed as refinery fuel,Billion Btu
CLSCB,Coal total consumption adjusted for process fuel,Billion Btu
CLTCB,Coal total consumption,Billion Btu
CLTCD,"Coal average price, all sectors",Dollars per million Btu
CLTCE,Coal CO2 emissions for all sectors,Million metric tons CO2
CLTCP,Coal total consumption,Thousand short tons
CLTCV,Coal total expenditures,Million dollars
CLTXB,Coal total end-use consumption,Billion Btu
CLTXD,"Coal average price, all end-use sectors",Dollars per million Btu
CLTXP,Coal total end-use consumption,Thousand barrels
CLTXV,Coal total end-use expenditures,Million dollars
COICB,Crude oil consumed by the industrial sector,Billion Btu
COICP,Crude oil consumed by the industrial sector,Thousand barrels
COPRK,Factor for converting crude oil production from physical units to Btu for the United States,Million Btu per barrel
CYCAS,Natural gas combined cycle generating units capacity factor,Percent
DAACB,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector",Billion Btu
DAACP,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector",Thousand barrels
DACCB,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector",Billion Btu
DACCP,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector",Thousand barrels
DAEIB,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector",Billion Btu
DAEIP,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector",Thousand barrels
DAICB,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector",Billion Btu
DAICP,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector",Thousand barrels
DARCB,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector",Billion Btu
DARCP,"Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector",Thousand barrels
DATCB,"Total distillate fuel oil, biodiesel, and renewable diesel consumption",Billion Btu
DATCP,"Total distillate fuel oil, biodiesel, and renewable diesel consumption",Thousand barrels
DFACB,Distillate fuel oil consumed by the transportation sector,Billion Btu
DFACD,Distillate fuel oil price in the transportation sector,Dollars per million Btu
DFACP,Distillate fuel oil consumed by the transportation sector,Thousand barrels
DFACV,Distillate fuel oil expenditures in the transportation sector,Million dollars
DFASB,Distillate fuel oil consumed by the transportation sector including biofuels product supplied,Billion Btu
DFCCB,Distillate fuel oil consumed by the commercial sector,Billion Btu
DFCCD,Distillate fuel oil price in the commercial sector,Dollars per million Btu
DFCCP,Distillate fuel oil consumed by the commercial sector,Thousand barrels
DFCCV,Distillate fuel oil expenditures in the commercial sector,Million dollars
DFCSB,Distillate fuel oil consumed by the commercial sector including biofuels product supplied,Billion Btu
DFEIB,Distillate fuel oil consumed by the electric power sector,Billion Btu
DFEID,Distillate fuel oil price in the electric power sector,Dollars per million Btu
DFEIP,Distillate fuel oil consumed by the electric power sector,Thousand barrels
DFEIV,Distillate fuel oil expenditures in the electric power sector,Million dollars
DFICB,Distillate fuel oil consumed by the industrial sector,Billion Btu
DFICD,Distillate fuel oil price in the industrial sector,Dollars per million Btu
DFICP,Distillate fuel oil consumed by the industrial sector,Thousand barrels
DFICV,Distillate fuel oil expenditures in the industrial sector,Million dollars
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel,Billion Btu
DFRCB,Distillate fuel oil consumed by the residential sector,Billion Btu
DFRCD,Distillate fuel oil price in the residential sector,Dollars per million Btu
DFRCP,Distillate fuel oil consumed by the residential sector,Thousand barrels
DFRCV,Distillate fuel oil expenditures in the residential sector,Million dollars
DFRFB,Distillate fuel oil consumed as refinery fuel,Billion Btu
DFRSB,Distillate fuel oil consumed by the residential sector including biofuels product supplied,Billion Btu
DFSCB,Distillate fuel oil total consumption adjusted for process fuel,Billion Btu
DFTCB,Distillate fuel oil total consumption,Billion Btu
DFTCD,"Distillate fuel oil average price, all sectors",Dollars per million Btu
DFTCK,Factor for converting distillate fuel from physical units to Btu,Million Btu per barrel
DFTCP,Distillate fuel oil total consumption,Thousand barrels
DFTCV,Distillate fuel oil total expenditures,Million dollars
DFTXB,Distillate fuel oil total end-use consumption,Billion Btu
DFTXD,"Distillate fuel oil average price, all end-use sectors",Dollars per million Btu
DFTXP,Distillate fuel oil total end-use consumption,Thousand barrels
DFTXV,Distillate fuel oil total end-use expenditures,Million dollars
DKEIB,Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,Billion Btu
DKEID,Distillate fuel oil (including kerosene-type jet fuel before 2001) average price in the electric power sector,Dollars per million Btu
DKEIP,Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,Thousand barrels
DKEIV,Distillate fuel oil (including kerosene-type jet fuel before 2001) expenditures in the electric power sector,Million dollars
DMACB,"Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector",Billion Btu
DMACE,"Distillate fuel oil, excluding biofuels, transportation sector CO2 emissions",Million metric tons CO2
DMACP,"Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector",Thousand barrels
DMCCB,"Distillate fuel oil, excluding biofuels, consumed by the commercial sector",Billion Btu
DMCCE,"Distillate fuel oil, excluding biofuels, commercial sector CO2 emissions",Million metric tons CO2
DMCCP,"Distillate fuel oil, excluding biofuels, consumed by the commercial sector",Thousand barrels
DMEIB,"Distillate fuel oil, excluding biofuels, consumed by the electric power sector",Billion Btu
DMEIE,"Distillate fuel oil, excluding biofuels, electric power sector CO2 emissions",Million metric tons CO2
DMEIP,"Distillate fuel oil, excluding biofuels, consumed by the electric power sector",Thousand barrels
DMICB,"Distillate fuel oil, excluding biofuels, consumed by the industrial sector",Billion Btu
DMICE,"Distillate fuel oil, excluding biofuels, industrial sector CO2 emissions",Million metric tons CO2
DMICP,"Distillate fuel oil, excluding biofuels, consumed by the industrial sector",Thousand barrels
DMRCB,"Distillate fuel oil, excluding biofuels, consumed by the residential sector",Billion Btu
DMRCE,"Distillate fuel oil, excluding biofuels, residential sector CO2 emissions",Million metric tons CO2
DMRCP,"Distillate fuel oil, excluding biofuels, consumed by the residential sector",Thousand barrels
DMTCB,"Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",Billion Btu
DMTCE,"Distillate fuel oil, excluding biofuels, total CO2 emissions",Million metric tons CO2
DMTCK,"Factor for converting distillate fuel, excluding biodiesel and renewable diesel, from physical units to Btu",Million Btu per barrel
DMTCP,"Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",Thousand barrels
ELEXB,Electricity exported from the United States,Billion Btu
ELEXD,Electricity exports average price,Dollars per million Btu
ELEXP,Electricity exported from the United States,Million kilowatthours
ELEXV,Electricity exports expenditures,Million dollars
ELGBP,Total (all fuels) electric generating units net summer capacity in all sectors,Thousand kilowatts
ELIMB,Electricity imported into the United States,Billion Btu
ELIMD,Electricity imports average price,Dollars per million Btu
ELIMP,Electricity imported into the United States,Million kilowatthours
ELIMV,Electricity imports expenditures,Million dollars
ELISB,Net interstate flow of electricity and associated losses (negative indicates flow out of state),Billion Btu
ELISP,Net interstate flow of electricity (negative indicates flow out of state),Million kilowatthours
ELNIB,Net imports of electricity into the United States,Billion Btu
ELNIP,Net imports of electricity into the United States,Million kilowatthours
ELVHN,Total electric vehicle (EV) light-duty stocks,Thousands of registered vehicles
ELVHS,Electric vehicle (EV) share of total light-duty vehicles,Percent
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion Btu
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector (through 1992)",Million dollars
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector",Billion Btu
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector (through 1992)",Million dollars
EMFDB,"Fuel ethanol production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector",Billion Btu
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector (through 1992)",Million dollars
EMLCB,Energy losses and co-products from the production of fuel ethanol,Billion Btu
EMTCB,"Fuel ethanol, excluding denaturant, total consumption",Billion Btu
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures (through 1992)",Million dollars
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector",Thousand barrels
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector",Thousand barrels
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector",Thousand barrels
ENPRP,"Fuel ethanol production, including denaturant",Thousand barrels
ENTCK,Fuel ethanol total consumption conversion factor for the United States,Million Btu per barrel
ENTCP,"Fuel ethanol, including denaturant, total consumption",Thousand barrels
EQICB,Ethane consumed by the industrial sector,Billion Btu
EQICP,Ethane consumed by the industrial sector,Thousand barrels
EQTCB,Ethane total consumption,Billion Btu
EQTCP,Ethane total consumption,Thousand barrels
ESACB,Electricity consumed by (sales to ultimate customers in) the transportation sector,Billion Btu
ESACD,Electricity price in the transportation sector,Dollars per million Btu
ESACP,Electricity consumed by (sales to ultimate customers in) the transportation sector,Million kilowatthours
ESACV,Electricity expenditures in the transportation sector,Million dollars
ESCCB,Electricity consumed by (sales to ultimate customers in) the commercial sector,Billion Btu
ESCCD,Electricity price in the commercial sector,Dollars per million Btu
ESCCP,Electricity consumed by (sales to ultimate customers in) the commercial sector,Million kilowatthours
ESCCV,Electricity expenditures in the commercial sector,Million dollars
ESICB,Electricity consumed by (sales to ultimate customers in) the industrial sector,Billion Btu
ESICD,Electricity price in the industrial sector,Dollars per million Btu
ESICP,Electricity consumed by (sales to ultimate customers in) the industrial sector,Million kilowatthours
ESICV,Electricity expenditures in the industrial sector,Million dollars
ESISB,Electricity sales to the industrial sector excluding refinery use,Billion Btu
ESRCB,Electricity consumed by (sales to ultimate customers in) the residential sector,Billion Btu
ESRCD,Electricity price in the residential sector,Dollars per million Btu
ESRCP,Electricity consumed by (sales to ultimate customers in) the residential sector,Million kilowatthours
ESRCV,Electricity expenditures in the residential sector,Million dollars
ESRFB,Electricity consumed by refineries,Billion Btu
ESRPP,Electricity consumed by (sales to ultimate customers in) the residential sector per capita,Kilowatthours
ESSCB,Electricity total consumption adjusted for process fuel,Billion Btu
ESTCB,Electricity total consumption (electricity sales to ultimate customers),Billion Btu
ESTCD,"Electricity average price, all sectors",Dollars per million Btu
ESTCK,Electricity conversion factor for the United States,Thousand Btu per kilowatthour
ESTCP,Electricity total consumption (electricity sales to ultimate customers),Million kilowatthours
ESTCV,Electricity total expenditures,Million dollars
ESTPP,Electricity total consumption (electricity sales to ultimate customers) per capita,Kilowatthours
ESTXB,Electricity total end-use consumption (electricity sales to ultimate customers),Billion Btu
ESTXD,"Electricity average price, all end-use sectors",Dollars per million Btu
ESTXP,Electricity total end-use consumption (electricity sales to ultimate customers),Million kilowatthours
ESTXV,Electricity total end-use expenditures,Million dollars
ESVHP,Electricity consumed for electric vehicle (EV) use,Million kilowatthours
EV0CN,Legacy charging ports for electric vehicles,Number
EV1CN,Level 1 charging ports for electric vehicles,Number
EV2CN,Level 2 charging ports for electric vehicles,Number
EV2CR,Level 2 charging ports per location,Number
EVCHN,Total charging ports for electric vehicles,Number
EVCHP,Total electric vehicle charging locations,Number
EVDCN,DC fast charging ports for electric vehicles,Number
EVDCR,DC fast charging ports per location,Number
EVNNP,Electric vehicle charging locations with both networked and non-networked ports,Number
EVNOP,Electric vehicle charging locations with non-networked ports only,Number
EVNTP,Electric vehicle charging locations with networked ports only,Number
EVPPP,Electric vehicle charging locations with both public and private ports,Number
EVPUP,Electric vehicle charging locations with public ports only,Number
EVPVP,Electric vehicle charging locations with private ports only,Number
EYICB,Ethylene from refineries consumed by the industrial sector,Billion Btu
EYICP,Ethylene from refineries consumed by the industrial sector,Thousand barrels
EYTCB,Ethylene from refineries total consumption,Billion Btu
EYTCP,Ethylene from refineries total consumption,Thousand barrels
FFACE,Fossil fuel CO2 emissions for the transportation sector,Million metric tons CO2
FFCCE,Fossil fuel CO2 emissions for the commercial sector,Million metric tons CO2
FFEIE,Fossil fuel CO2 emissions for the electric power sector,Million metric tons CO2
FFETK,Fossil-fueled steam-electric power plant conversion factor,Thousand Btu per kilowatthour
FFGBP,Fossil fuel total generating units net summer capacity in all sectors,Thousand kilowatts
FFICE,Fossil fuel CO2 emissions for the industrial sector,Million metric tons CO2
FFRCE,Fossil fuel CO2 emissions for the residential sector,Million metric tons CO2
FFTCB,Fossil fuels total consumption,Billion Btu
FFTCE,Fossil fuel CO2 emissions for all sectors,Million metric tons CO2
FNICB,"Petrochemical feedstocks, naphtha less than 401° F, consumed by the industrial sector",Billion Btu
FNICD,"Petrochemical feedstocks, naphtha less than 401° F, price in the industrial sector",Dollars per million Btu
FNICP,"Petrochemical feedstocks, naphtha less than 401° F, consumed by the industrial sector",Thousand barrels
FNICV,"Petrochemical feedstocks, naphtha less than 401° F, expenditures in the industrial sector",Million dollars
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401° F, consumed by the industrial sector",Billion Btu
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401° F, price in the industrial sector",Dollars per million Btu
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401° F, consumed by the industrial sector",Thousand barrels
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401° F, expenditures in the industrial sector",Million dollars
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",Billion Btu
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector (through 1985)",Dollars per million Btu
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",Thousand barrels
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector (through 1985)",Million dollars
GDPRV,Current-dollar gross domestic product (GDP),Million dollars
GDPRX,Real gross domestic product (GDP),Million chained (2017) dollars
GECAS,Geothermal generating units capacity factor,Percent
GECCB,Geothermal energy consumed by the commercial sector,Billion Btu
GEEGB,Geothermal energy consumed for electricity generation by the electric power sector,Billion Btu
GEEGP,Geothermal electricity net generation in the electric power sector,Million kilowatthours
GEGBP,Geothermal generating units net summer capacity in all sectors,Thousand kilowatts
GEICB,Geothermal energy consumed by the industrial sector,Billion Btu
GEPRB,Geothermal total production,Billion Btu
GERCB,Geothermal energy consumed by the residential sector,Billion Btu
GETCB,Geothermal energy total consumption,Billion Btu
GETXB,Geothermal energy total end-use consumption,Billion Btu
HLACB,Hydrocarbon gas liquids consumed by the transportation sector,Billion Btu
HLACD,Hydrocarbon gas liquids price in the transportation sector,Dollars per million Btu
HLACE,Hydrocarbon gas liquids transportation sector CO2 emissions,Million metric tons CO2
HLACP,Hydrocarbon gas liquids consumed by the transportation sector,Thousand barrels
HLACV,Hydrocarbon gas liquids expenditures in the transportation sector,Million dollars
HLCCB,Hydrocarbon gas liquids consumed by the commercial sector,Billion Btu
HLCCD,Hydrocarbon gas liquids price in the commercial sector,Dollars per million Btu
HLCCE,Hydrocarbon gas liquids commercial sector CO2 emissions,Million metric tons CO2
HLCCP,Hydrocarbon gas liquids consumed by the commercial sector,Thousand barrels
HLCCV,Hydrocarbon gas liquids expenditures in the commercial sector,Million dollars
HLICB,Hydrocarbon gas liquids consumed by the industrial sector,Billion Btu
HLICD,Hydrocarbon gas liquids price in the industrial sector,Dollars per million Btu
HLICE,Hydrocarbon gas liquids industrial sector CO2 emissions,Million metric tons CO2
HLICK,Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu,Million Btu per barrel
HLICP,Hydrocarbon gas liquids consumed by the industrial sector,Thousand barrels
HLICV,Hydrocarbon gas liquids expenditures in the industrial sector,Million dollars
HLISB,Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,Billion Btu
HLRCB,Hydrocarbon gas liquids consumed by the residential sector,Billion Btu
HLRCD,Hydrocarbon gas liquids price in the residential sector,Dollars per million Btu
HLRCE,Hydrocarbon gas liquids residential sector CO2 emissions,Million metric tons CO2
HLRCP,Hydrocarbon gas liquids consumed by the residential sector,Thousand barrels
HLRCV,Hydrocarbon gas liquids expenditures in the residential sector,Million dollars
HLRFB,Hydrocarbon gas liquids consumed as refinery fuel and intermediate products,Billion Btu
HLSCB,Hydrocarbon gas liquids total consumption adjusted for processed fuel,Billion Btu
HLTCB,Hydrocarbon gas liquids total consumption,Billion Btu
HLTCD,"Hydrocarbon gas liquids average price, all sectors",Dollars per million Btu
HLTCE,Hydrocarbon gas liquids total CO2 emissions,Million metric tons CO2
HLTCK,Average factor for converting hydrocarbon gas liquids total consumption from physical unit to Btu,Million Btu per barrel
HLTCP,Hydrocarbon gas liquids total consumption,Thousand barrels
HLTCV,Hydrocarbon gas liquids total expenditures,Million dollars
HLTXB,Hydrocarbon gas liquids total end-use consumption,Billion Btu
HLTXD,"Hydrocarbon gas liquids average price, all end-use sectors",Dollars per million Btu
