variable_name,xpath,form_type,rdb_table,data_type_simple
F9_00_GROUP_EXEMPT_NUM,/Return/ReturnData/IRS990EZ/GroupExemptionNum,EZ,F9-P00-T00-HEADER,numeric
F9_00_GROUP_EXEMPT_NUM,/Return/ReturnData/IRS990EZ/GroupExemptionNumber,EZ,F9-P00-T00-HEADER,numeric
F9_00_GROUP_EXEMPT_NUM,/Return/ReturnData/IRS990/Form990PartI/GroupExemptionNumber,PC,F9-P00-T00-HEADER,numeric
F9_00_GROUP_EXEMPT_NUM,/Return/ReturnData/IRS990/GroupExemptionNum,PC,F9-P00-T00-HEADER,numeric
F9_00_GROUP_EXEMPT_NUM,/Return/ReturnData/IRS990/GroupExemptionNumber,PC,F9-P00-T00-HEADER,numeric
F9_00_GRO_RCPT,/Return/ReturnData/IRS990EZ/GrossReceipts,EZ,F9-P00-T00-HEADER,numeric
F9_00_GRO_RCPT,/Return/ReturnData/IRS990EZ/GrossReceiptsAmt,EZ,F9-P00-T00-HEADER,numeric
F9_00_GRO_RCPT,/Return/ReturnData/IRS990/Form990PartI/GrossReceipts,PC,F9-P00-T00-HEADER,numeric
F9_00_GRO_RCPT,/Return/ReturnData/IRS990/GrossReceipts,PC,F9-P00-T00-HEADER,numeric
F9_00_GRO_RCPT,/Return/ReturnData/IRS990/GrossReceiptsAmt,PC,F9-P00-T00-HEADER,numeric
F9_00_LEGAL_DMCL_STATE,/Return/ReturnData/IRS990/Form990PartI/StateLegalDomicile,PC,F9-P00-T00-HEADER,text
F9_00_LEGAL_DMCL_STATE,/Return/ReturnData/IRS990/LegalDomicileStateCd,PC,F9-P00-T00-HEADER,text
F9_00_LEGAL_DMCL_STATE,/Return/ReturnData/IRS990/StateLegalDomicile,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnData/IRS990EZ/USAddress/City,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnData/IRS990EZ/USAddress/CityNm,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnHeader/Filer/ForeignAddress/City,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnHeader/Filer/ForeignAddress/CityNm,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnHeader/Filer/USAddress/City,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CITY,/Return/ReturnHeader/Filer/USAddress/CityNm,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CNTR,/Return/ReturnHeader/Filer/ForeignAddress/Country,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_CNTR,/Return/ReturnHeader/Filer/ForeignAddress/CountryCd,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnData/IRS990EZ/USAddress/AddressLine1,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnData/IRS990EZ/USAddress/AddressLine1Txt,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnHeader/Filer/ForeignAddress/AddressLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnHeader/Filer/ForeignAddress/AddressLine1Txt,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnHeader/Filer/USAddress/AddressLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_L1,/Return/ReturnHeader/Filer/USAddress/AddressLine1Txt,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnData/IRS990EZ/USAddress/State,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnData/IRS990EZ/USAddress/StateAbbreviationCd,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnHeader/Filer/ForeignAddress/ProvinceOrState,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnHeader/Filer/ForeignAddress/ProvinceOrStateNm,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnHeader/Filer/USAddress/State,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_STATE,/Return/ReturnHeader/Filer/USAddress/StateAbbreviationCd,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnData/IRS990EZ/USAddress/ZIPCd,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnData/IRS990EZ/USAddress/ZIPCode,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnHeader/Filer/ForeignAddress/ForeignPostalCd,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnHeader/Filer/ForeignAddress/PostalCode,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnHeader/Filer/USAddress/ZIPCd,PC,F9-P00-T00-HEADER,text
F9_00_ORG_ADDR_ZIP,/Return/ReturnHeader/Filer/USAddress/ZIPCode,PC,F9-P00-T00-HEADER,text
F9_00_ORG_EIN,/Return/ReturnHeader/Filer/EIN,PC,F9-P00-T00-HEADER,numeric
F9_00_ORG_NAME_DBA_L1,/Return/ReturnData/IRS990/DoingBusinessAs/BusinessNameLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_DBA_L1,/Return/ReturnData/IRS990/DoingBusinessAsName/BusinessNameLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_DBA_L1,/Return/ReturnData/IRS990/DoingBusinessAsName/BusinessNameLine1Txt,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L1,/Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L1,/Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1Txt,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L1,/Return/ReturnHeader/Filer/Name/BusinessNameLine1,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L2,/Return/ReturnHeader/Filer/BusinessName/BusinessNameLine2,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L2,/Return/ReturnHeader/Filer/BusinessName/BusinessNameLine2Txt,PC,F9-P00-T00-HEADER,text
F9_00_ORG_NAME_L2,/Return/ReturnHeader/Filer/Name/BusinessNameLine2,PC,F9-P00-T00-HEADER,text
F9_00_ORG_WEBSITE,/Return/ReturnData/IRS990EZ/WebSite,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_WEBSITE,/Return/ReturnData/IRS990EZ/WebsiteAddressTxt,EZ,F9-P00-T00-HEADER,text
F9_00_ORG_WEBSITE,/Return/ReturnData/IRS990/Form990PartI/WebSite,PC,F9-P00-T00-HEADER,text
F9_00_ORG_WEBSITE,/Return/ReturnData/IRS990/WebSite,PC,F9-P00-T00-HEADER,text
F9_00_ORG_WEBSITE,/Return/ReturnData/IRS990/WebsiteAddressTxt,PC,F9-P00-T00-HEADER,text
F9_00_PRIN_OFF_NAME_PERS,/Return/ReturnData/IRS990/Form990PartI/NameOfPrincipalOfficer/NamePerson,PC,F9-P00-T00-HEADER,text
F9_00_PRIN_OFF_NAME_PERS,/Return/ReturnData/IRS990/NameOfPrincipalOfficerPerson,PC,F9-P00-T00-HEADER,text
F9_00_PRIN_OFF_NAME_PERS,/Return/ReturnData/IRS990/PrincipalOfficerNm,PC,F9-P00-T00-HEADER,text
F9_00_RETURN_AMENDED_X,/Return/ReturnData/IRS990EZ/AmendedReturn,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_AMENDED_X,/Return/ReturnData/IRS990EZ/AmendedReturnInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_AMENDED_X,/Return/ReturnData/IRS990/AmendedReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_AMENDED_X,/Return/ReturnData/IRS990/AmendedReturnInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_AMENDED_X,/Return/ReturnData/IRS990/Form990PartI/AmendedReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990EZ/FinalReturn,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990EZ/FinalReturnInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990EZ/TerminatedReturn,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990EZ/TerminationReturn,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990/FinalReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990/FinalReturnInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990/Form990PartI/TerminationReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990/TerminatedReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_FINAL_X,/Return/ReturnData/IRS990/TerminationReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_GROUP_X,/Return/ReturnData/IRS990/Form990PartI/GroupReturnForAffiliates,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_GROUP_X,/Return/ReturnData/IRS990/GroupReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_GROUP_X,/Return/ReturnData/IRS990/GroupReturnForAffiliates,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_GROUP_X,/Return/ReturnData/IRS990/GroupReturnForAffiliatesInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_INITIAL_X,/Return/ReturnData/IRS990EZ/InitialReturn,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_INITIAL_X,/Return/ReturnData/IRS990EZ/InitialReturnInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_INITIAL_X,/Return/ReturnData/IRS990/Form990PartI/InitialReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_INITIAL_X,/Return/ReturnData/IRS990/InitialReturn,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_INITIAL_X,/Return/ReturnData/IRS990/InitialReturnInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_RETURN_TIME_STAMP,/Return/ReturnHeader/ReturnTs,PC,F9-P00-T00-HEADER,date
F9_00_RETURN_TIME_STAMP,/Return/ReturnHeader/Timestamp,PC,F9-P00-T00-HEADER,date
F9_00_RETURN_TYPE,/Return/ReturnHeader/ReturnType,PC,F9-P00-T00-HEADER,text
F9_00_RETURN_TYPE,/Return/ReturnHeader/ReturnTypeCd,PC,F9-P00-T00-HEADER,text
F9_00_TAX_PERIOD_BEGIN_DATE,/Return/ReturnHeader/TaxPeriodBeginDate,PC,F9-P00-T00-HEADER,date
F9_00_TAX_PERIOD_BEGIN_DATE,/Return/ReturnHeader/TaxPeriodBeginDt,PC,F9-P00-T00-HEADER,date
F9_00_TAX_PERIOD_END_DATE,/Return/ReturnHeader/TaxPeriodEndDate,PC,F9-P00-T00-HEADER,date
F9_00_TAX_PERIOD_END_DATE,/Return/ReturnHeader/TaxPeriodEndDt,PC,F9-P00-T00-HEADER,date
F9_00_TAX_YEAR,/Return/ReturnHeader/TaxYear,PC,F9-P00-T00-HEADER,date
F9_00_TAX_YEAR,/Return/ReturnHeader/TaxYr,PC,F9-P00-T00-HEADER,date
F9_00_TYPE_ORG_ASSOC_X,/Return/ReturnData/IRS990EZ/TypeOfOrganizationAssocInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_ASSOC_X,/Return/ReturnData/IRS990/Form990PartI/TypeOfOrganizationAssociation,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_ASSOC_X,/Return/ReturnData/IRS990/TypeOfOrganizationAssocInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_ASSOC_X,/Return/ReturnData/IRS990/TypeOfOrganizationAssociation,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_CORP_X,/Return/ReturnData/IRS990EZ/TypeOfOrganizationCorpInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_CORP_X,/Return/ReturnData/IRS990EZ/TypeOfOrganizationCorporation,EZ,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_CORP_X,/Return/ReturnData/IRS990/Form990PartI/TypeOfOrganizationCorporation,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_CORP_X,/Return/ReturnData/IRS990/TypeOfOrganizationCorpInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_CORP_X,/Return/ReturnData/IRS990/TypeOfOrganizationCorporation,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_OTH_X,/Return/ReturnData/IRS990EZ/TypeOfOrganizationOtherInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_OTH_X,/Return/ReturnData/IRS990/Form990PartI/TypeOfOrganizationOther,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_OTH_X,/Return/ReturnData/IRS990/TypeOfOrganizationOther,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_OTH_X,/Return/ReturnData/IRS990/TypeOfOrganizationOtherInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_TRUST_X,/Return/ReturnData/IRS990EZ/TypeOfOrganizationTrustInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_TRUST_X,/Return/ReturnData/IRS990/Form990PartI/TypeOfOrganizationTrust,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_TRUST_X,/Return/ReturnData/IRS990/TypeOfOrganizationTrust,PC,F9-P00-T00-HEADER,checkbox
F9_00_TYPE_ORG_TRUST_X,/Return/ReturnData/IRS990/TypeOfOrganizationTrustInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_YEAR_FORMATION,/Return/ReturnData/IRS990/Form990PartI/YearFormation,PC,F9-P00-T00-HEADER,date
F9_00_YEAR_FORMATION,/Return/ReturnData/IRS990/FormationYr,PC,F9-P00-T00-HEADER,date
F9_00_YEAR_FORMATION,/Return/ReturnData/IRS990/YearFormation,PC,F9-P00-T00-HEADER,date
F9_01_ACT_GVRN_ACT_MISSION,/Return/ReturnData/IRS990/ActivityOrMissionDesc,PC,F9-P01-T00-SUMMARY,text
F9_01_ACT_GVRN_ACT_MISSION,/Return/ReturnData/IRS990/ActivityOrMissionDescription,PC,F9-P01-T00-SUMMARY,text
F9_01_ACT_GVRN_ACT_MISSION,/Return/ReturnData/IRS990/Form990PartI/ActivityOrMissionDescription,PC,F9-P01-T00-SUMMARY,text
F9_01_ACT_GVRN_EMPL_TOT,/Return/ReturnData/IRS990/Form990PartI/TotalNbrEmployees,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_EMPL_TOT,/Return/ReturnData/IRS990/TotalEmployeeCnt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_EMPL_TOT,/Return/ReturnData/IRS990/TotalNbrEmployees,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB,/Return/ReturnData/IRS990/Form990PartI/NbrVotingMembersGoverningBody,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB,/Return/ReturnData/IRS990/NbrVotingMembersGoverningBody,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB,/Return/ReturnData/IRS990/VotingMembersGoverningBodyCnt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB_IND,/Return/ReturnData/IRS990/Form990PartI/NbrIndependentVotingMembers,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB_IND,/Return/ReturnData/IRS990/NbrIndependentVotingMembers,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_NUM_VOTE_MEMB_IND,/Return/ReturnData/IRS990/VotingMembersIndependentCnt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_REV_TOT,/Return/ReturnData/IRS990/Form990PartI/TotalGrossUBI,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_REV_TOT,/Return/ReturnData/IRS990/TotalGrossUBI,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_REV_TOT,/Return/ReturnData/IRS990/TotalGrossUBIAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_TAXABLE_NET,/Return/ReturnData/IRS990/Form990PartI/NetUnrelatedBusinessTxblIncome,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_TAXABLE_NET,/Return/ReturnData/IRS990/NetUnrelatedBusTxblIncmAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_UBIZ_TAXABLE_NET,/Return/ReturnData/IRS990/NetUnrelatedBusinessTxblIncome,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_VOL_TOT,/Return/ReturnData/IRS990/Form990PartI/TotalNbrVolunteers,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_VOL_TOT,/Return/ReturnData/IRS990/TotalNbrVolunteers,PC,F9-P01-T00-SUMMARY,numeric
F9_01_ACT_GVRN_VOL_TOT,/Return/ReturnData/IRS990/TotalVolunteersCnt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_CY,/Return/ReturnData/IRS990EZ/BenefitsPaidToOrForMembers,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_CY,/Return/ReturnData/IRS990EZ/BenefitsPaidToOrForMembersAmt,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_CY,/Return/ReturnData/IRS990/BenefitsPaidToMembersCY,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_CY,/Return/ReturnData/IRS990/CYBenefitsPaidToMembersAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_CY,/Return/ReturnData/IRS990/Form990PartI/BenefitsPaidToMembersCurrYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_PY,/Return/ReturnData/IRS990/BenefitsPaidToMembersPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_PY,/Return/ReturnData/IRS990/Form990PartI/BenefitsPaidToMembersPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_BEN_PAID_MEMB_PY,/Return/ReturnData/IRS990/PYBenefitsPaidToMembersAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_FUNDR_TOT_CY,/Return/ReturnData/IRS990/CYTotalFundraisingExpenseAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_FUNDR_TOT_CY,/Return/ReturnData/IRS990/Form990PartI/TotalFundrsngExpCurrentYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_FUNDR_TOT_CY,/Return/ReturnData/IRS990/TotalFundrsngExpCurrentYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990EZ/GrantsAndSimilarAmntsCY,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaid,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaidAmt,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990/CYGrantsAndSimilarPaidAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990/Form990PartI/GrantsAndSimilarAmntsCurrYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_CY,/Return/ReturnData/IRS990/GrantsAndSimilarAmntsCY,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_PY,/Return/ReturnData/IRS990/Form990PartI/GrantsAndSimilarAmntsPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_PY,/Return/ReturnData/IRS990/GrantsAndSimilarAmntsPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_GRANT_SIMILAR_PY,/Return/ReturnData/IRS990/PYGrantsAndSimilarPaidAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY,/Return/ReturnData/IRS990/CYOtherExpensesAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY,/Return/ReturnData/IRS990/Form990PartI/OtherExpensesCurrentYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY,/Return/ReturnData/IRS990/OtherExpensesCurrentYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY_V2,/Return/ReturnData/IRS990EZ/OtherExpenses/Amount,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY_V2,/Return/ReturnData/IRS990EZ/OtherExpensesCurrentYear,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY_V2,/Return/ReturnData/IRS990EZ/OtherExpensesTotal,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_CY_V2,/Return/ReturnData/IRS990EZ/OtherExpensesTotalAmt,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_PY,/Return/ReturnData/IRS990/Form990PartI/OtherExpensePriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_PY,/Return/ReturnData/IRS990/OtherExpensePriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_OTH_PY,/Return/ReturnData/IRS990/PYOtherExpensesAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_CY,/Return/ReturnData/IRS990/CYTotalProfFndrsngExpnsAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_CY,/Return/ReturnData/IRS990/Form990PartI/TotalProfFundrsngExpCurrYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_CY,/Return/ReturnData/IRS990/TotalProfFundrsngExpCY,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_PY,/Return/ReturnData/IRS990/Form990PartI/TotalProfFundrsngExpPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_PY,/Return/ReturnData/IRS990/PYTotalProfFndrsngExpnsAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_PROF_FUNDR_TOT_PY,/Return/ReturnData/IRS990/TotalProfFundrsngExpPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_CY,/Return/ReturnData/IRS990EZ/ExcessOrDeficitForYear,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_CY,/Return/ReturnData/IRS990EZ/ExcessOrDeficitForYearAmt,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_CY,/Return/ReturnData/IRS990/CYRevenuesLessExpensesAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_CY,/Return/ReturnData/IRS990/Form990PartI/RevenuesLessExpensesCurrYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_CY,/Return/ReturnData/IRS990/RevenuesLessExpensesCY,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_PY,/Return/ReturnData/IRS990/Form990PartI/RevenuesLessExpensesPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_PY,/Return/ReturnData/IRS990/PYRevenuesLessExpensesAmt,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_REV_LESS_EXP_PY,/Return/ReturnData/IRS990/RevenuesLessExpensesPriorYear,PC,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_SAL_ETC_CY,/Return/ReturnData/IRS990/Form990PartI/SalariesEtcCurrentYear,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_SAL_ETC_CY,/Return/ReturnData/IRS990EZ/SalariesEtcCurrentYear,EZ,F9-P01-T00-SUMMARY,numeric
F9_01_EXP_SAL_ETC_CY,/Return/ReturnData/IRS990EZ/SalariesOtherCompEmplBenefits,EZ,F9-P01-T00-SUMMARY,numeric
