name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
primary_insurance_fund,STRING,Deposit insurance fund the institution belongs to,,yes,,,no,,INSAGNT1,Fundo de seguro de depósito ao qual a instituição pertence,Deposit insurance fund the institution belongs to,Fondo de seguro de depósito al que pertenece la institución
insurance_date,DATE,Date deposit insurance took effect,,no,,,no,,INSDATE,Data em que o seguro de depósito entrou em vigor,Date deposit insurance took effect,Fecha en que entró en vigor el seguro de depósito
insurance_end_date,DATE,Date deposit insurance ended,,no,,,no,,INSDROPDATE,Data em que o seguro de depósito se encerrou,Date deposit insurance ended,Fecha en que terminó el seguro de depósito
is_insured_commercial_bank,STRING,Whether the institution is an insured commercial bank,,yes,,,no,,INSCOML,Indica se a instituição é um banco comercial segurado,Whether the institution is an insured commercial bank,Indica si la institución es un banco comercial asegurado
is_insured_savings_institution,STRING,Whether the institution is an insured savings institution,,yes,,,no,,INSSAVE,Indica se a instituição é uma instituição de poupança segurada,Whether the institution is an insured savings institution,Indica si la institución es una institución de ahorro asegurada
is_active,STRING,Whether the institution was operating at the extraction date,,yes,,,no,,ACTIVE,Indica se a instituição estava em operação na data de extração,Whether the institution was operating at the extraction date,Indica si la institución estaba operando en la fecha de extracción
established_date,DATE,Date the institution began operating,,no,,,no,,ESTYMD,Data em que a instituição iniciou suas operações,Date the institution began operating,Fecha en que la institución inició sus operaciones
end_date,DATE,Date the institution ceased to exist as a separate entity,,no,,,no,Empty for institutions still operating,ENDEFYMD,Data em que a instituição deixou de existir como entidade separada,Date the institution ceased to exist as a separate entity,Fecha en que la institución dejó de existir como entidad separada
last_structure_change_date,DATE,Effective date of the most recent structure change,,no,,,no,,EFFDATE,Data de vigência da mudança de estrutura mais recente,Effective date of the most recent structure change,Fecha de vigencia del cambio de estructura más reciente
last_structure_change_process_date,DATE,Date the most recent structure change was processed,,no,,,no,,PROCDATE,Data em que a mudança de estrutura mais recente foi processada,Date the most recent structure change was processed,Fecha en que se procesó el cambio de estructura más reciente
structure_change_code,STRING,Code of the most recent structure change,,yes,,,no,The FDIC records up to fifteen change codes; the first is kept,CHANGEC1,Código da mudança de estrutura mais recente,Code of the most recent structure change,Código del cambio de estructura más reciente
is_in_conservatorship,STRING,Whether the institution is in conservatorship,,yes,,,no,,CONSERVE,Indica se a instituição está sob intervenção,Whether the institution is in conservatorship,Indica si la institución está bajo intervención
is_de_novo,STRING,Whether the institution is newly chartered,,yes,,,no,,DENOVO,Indica se a instituição foi recém-autorizada,Whether the institution is newly chartered,Indica si la institución fue recién autorizada
last_update_date,DATE,Date the FDIC last updated the record,,no,,,no,,DATEUPDT,Data da última atualização do registro pelo FDIC,Date the FDIC last updated the record,Fecha de la última actualización del registro por la FDIC
address,STRING,Street address of the main office,,no,,,no,,ADDRESS,Endereço da sede,Street address of the main office,Dirección de la sede
city,STRING,City of the main office,,no,,,no,,CITY,Cidade da sede,City of the main office,Ciudad de la sede
county,STRING,County of the main office,,no,,,no,,COUNTY,Condado da sede,County of the main office,Condado de la sede
state_abbreviation,STRING,Two-letter state abbreviation of the main office,,no,br_bd_diretorios_us.state:abbreviation,,no,,STALP,Sigla de duas letras do estado da sede,Two-letter state abbreviation of the main office,Sigla de dos letras del estado de la sede
state_name,STRING,State name of the main office,,no,,,no,,STNAME,Nome do estado da sede,State name of the main office,Nombre del estado de la sede
county_id,STRING,FIPS state and county code of the main office,,no,br_bd_diretorios_us.county:id_county,,no,,STCNTY,Código FIPS de estado e condado da sede,FIPS state and county code of the main office,Código FIPS de estado y condado de la sede
zip_code,STRING,ZIP code of the main office,,no,,,no,,ZIP,Código postal (ZIP) da sede,ZIP code of the main office,Código postal (ZIP) de la sede
latitude,FLOAT64,Latitude of the main office,,no,,degrees,no,,LATITUDE,Latitude da sede,Latitude of the main office,Latitud de la sede
longitude,FLOAT64,Longitude of the main office,,no,,degrees,no,,LONGITUDE,Longitude da sede,Longitude of the main office,Longitud de la sede
cbsa_id,STRING,Core Based Statistical Area code of the main office,,no,br_bd_diretorios_us.cbsa_2023:id_cbsa,,no,"Delineation vintage follows the FDIC extract, not the reference year",CBSA_NO,Código da área estatística de núcleo urbano (CBSA) da sede,Core Based Statistical Area code of the main office,Código del área estadística de núcleo urbano (CBSA) de la sede
cbsa_name,STRING,Core Based Statistical Area name of the main office,,no,,,no,,CBSA,Nome da área estatística de núcleo urbano (CBSA) da sede,Core Based Statistical Area name of the main office,Nombre del área estadística de núcleo urbano (CBSA) de la sede
csa_id,STRING,Combined Statistical Area code of the main office,,no,,,no,,CSA_NO,Código da área estatística combinada (CSA) da sede,Combined Statistical Area code of the main office,Código del área estadística combinada (CSA) de la sede
csa_name,STRING,Combined Statistical Area name of the main office,,no,,,no,,CSA,Nome da área estatística combinada (CSA) da sede,Combined Statistical Area name of the main office,Nombre del área estadística combinada (CSA) de la sede
fdic_region,STRING,FDIC geographic region,,yes,,,no,,FDICDBS,Região geográfica do FDIC,FDIC geographic region,Región geográfica de la FDIC
fdic_supervisory_region,STRING,FDIC supervisory region,,yes,,,no,,FDICSUPV,Região de supervisão do FDIC,FDIC supervisory region,Región de supervisión de la FDIC
federal_reserve_district,STRING,Federal Reserve district the institution belongs to,,yes,,,no,,FED,Distrito do Federal Reserve ao qual a instituição pertence,Federal Reserve district the institution belongs to,Distrito de la Reserva Federal al que pertenece la institución
occ_district,STRING,OCC district the institution belongs to,,yes,,,no,,OCCDIST,Distrito do OCC ao qual a instituição pertence,OCC district the institution belongs to,Distrito de la OCC al que pertenece la institución
website,STRING,Primary internet address of the institution,,no,,,no,,WEBADDR,Endereço eletrônico principal da instituição,Primary internet address of the institution,Dirección electrónica principal de la institución
financial_report_date,DATE,Quarter end the financial snapshot columns refer to,,no,,,no,,RISDATE,Fim de trimestre a que se referem as colunas do retrato financeiro,Quarter end the financial snapshot columns refer to,Fin de trimestre al que se refieren las columnas del retrato financiero
total_assets,FLOAT64,Total assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ASSET,Ativos totais,Total assets,Activos totales
total_deposits,FLOAT64,Total deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEP,Depósitos totais,Total deposits,Depósitos totales
domestic_deposits,FLOAT64,Deposits held in domestic offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPDOM,Depósitos mantidos em agências domésticas,Deposits held in domestic offices,Depósitos mantenidos en oficinas domésticas
equity_capital,FLOAT64,Total equity capital,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQ,Patrimônio líquido total,Total equity capital,Patrimonio neto total
net_income,FLOAT64,Net income for the year to date,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NETINC,Lucro líquido acumulado no ano,Net income for the year to date,Utilidad neta acumulada del año
return_on_assets,FLOAT64,Net income as a percent of average total assets,,no,,percent,no,,ROA,Lucro líquido como percentual dos ativos totais médios,Net income as a percent of average total assets,Utilidad neta como porcentaje de los activos totales promedio
return_on_equity,FLOAT64,Net income as a percent of average equity,,no,,percent,no,,ROE,Lucro líquido como percentual do patrimônio líquido médio,Net income as a percent of average equity,Utilidad neta como porcentaje del patrimonio neto promedio
domestic_offices,FLOAT64,Number of domestic offices,,no,,unit,no,,OFFDOM,Número de agências domésticas,Number of domestic offices,Número de oficinas domésticas
foreign_offices,FLOAT64,Number of foreign offices,,no,,unit,no,,OFFFOR,Número de agências no exterior,Number of foreign offices,Número de oficinas en el exterior
