name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
loans_to_individuals_ratio,FLOAT64,Loans to Individuals Ratio,,no,,percent,no,,IDNCCONR,Empréstimos a pessoas físicas como proporção da carteira,Loans to Individuals Ratio,Préstamos a personas físicas como proporción de la cartera
cash_dividends_to_net_income_ytd_only,FLOAT64,Cash Dividends to Net Income (YTD Only),,no,,percent,no,,EQCDIVNTINC,Dividendos pagos sobre o lucro líquido (acumulado no ano),Cash Dividends to Net Income (YTD Only),Dividendos pagados sobre la utilidad neta (acumulado del año)
premises_and_fixed_assets,FLOAT64,Premises and Fixed Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",BKPREM,Imóveis e ativos fixos,Premises and Fixed Assets,Inmuebles y activos fijos
real_estate_principal_securitised_asset_sold,FLOAT64,Real Estate Principal Securitised Asset Sold - Cons,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNCON,Principal de ativos de crédito ao consumidor securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Cons,Principal de activos de crédito al consumidor securitizados y vendidos
intangible_assets,FLOAT64,Intangible Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",INTAN,Ativos intangíveis,Intangible Assets,Activos intangibles
nonresidential_chargeoff_per_nonresidential_ratio,FLOAT64,Nonresidential Charge-Off/Nonresidential Loans,,no,,percent,no,,NTRENRSR,Baixas por perda sobre empréstimos imobiliários não residenciais,Nonresidential Charge-Off/Nonresidential Loans,Castigos por pérdida sobre préstamos inmobiliarios no residenciales
off_balance_sheet_derivatives_ratio,FLOAT64,Off-Balance Sheet Derivatives,,no,,percent,no,,OBSDIR,Derivativos fora do balanço,Off-Balance Sheet Derivatives,Derivados fuera de balance
number_of_us_offices,FLOAT64,"The number of offices operated by an FDIC-insured institution in all commonwealths and terrirtories of the US, along with those in freely associated states under the Compact of Free Association",,no,,unit,no,,OFFOA,"Número de agências operadas por instituição segurada pelo FDIC nos territórios e commonwealths dos Estados Unidos, incluindo as dos estados livremente associados sob o Compact of Free Association","The number of offices operated by an FDIC-insured institution in all commonwealths and terrirtories of the US, along with those in freely associated states under the Compact of Free Association","Número de oficinas operadas por una institución asegurada por la FDIC en los territorios y commonwealths de los Estados Unidos, incluyendo las de los estados libremente asociados bajo el Compact of Free Association"
n_90_d_p_per_d_total_loans_loss_sh,FLOAT64,90+ D P/D Total Loans - Loss Sh,,no,,percent,no,,P9LTOT,Empréstimos com atraso de 90 dias ou mais sob acordo de perda compartilhada,90+ D P/D Total Loans - Loss Sh,Préstamos con mora de 90 días o más bajo acuerdo de pérdida compartida
all_other_loans_and_leases_including_farm_ratio,FLOAT64,All Other Loans & Leases (Including Farm),,no,,percent,no,,NTALLOTHR,Demais empréstimos e arrendamentos (incluindo rurais),All Other Loans & Leases (Including Farm),Demás préstamos y arrendamientos (incluyendo rurales)
securities_gains_and_losses,FLOAT64,Securities Gains and Losses,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",IGLSEC,Ganhos e perdas com títulos,Securities Gains and Losses,Ganancias y pérdidas en valores
efficiency_ratio,FLOAT64,Efficiency Ratio,,no,,percent,no,,EEFFR,Índice de eficiência,Efficiency Ratio,Índice de eficiencia
common_equity_tier_1_capital_ratio,FLOAT64,Common Equity Tier 1 Capital Ratio,,no,,percent,no,,IDT1CER,Índice de capital principal de nível 1,Common Equity Tier 1 Capital Ratio,Índice de capital principal de nivel 1
multifamily_real_estate_chargeoff_per_multi_ratio,FLOAT64,Multifamily Real Estate Charge-Off/Multi Real Estate Ln,,no,,percent,no,,NTREMULR,Baixas por perda sobre empréstimos imobiliários multifamiliares,Multifamily Real Estate Charge-Off/Multi Real Estate Ln,Castigos por pérdida sobre préstamos inmobiliarios multifamiliares
deposits_held_in_domestic_offices,FLOAT64,"The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits.",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPDOM,"Soma de todos os depósitos em agências domésticas, incluindo depósitos à vista, depósitos de mercado monetário, demais depósitos de poupança e depósitos a prazo","The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits.","Suma de todos los depósitos en oficinas domésticas, incluyendo depósitos a la vista, depósitos de mercado monetario, demás depósitos de ahorro y depósitos a plazo"
income_before_disc_opr_ratio,FLOAT64,Income Before Disc Opr,,no,,percent,no,,IBEFXTR,Resultado antes de operações descontinuadas,Income Before Disc Opr,Resultado antes de operaciones descontinuadas
interest_income_to_earning_assets_ratio,FLOAT64,Interest Income to Earning Assets Ratio,,no,,percent,no,,INTINCY,Receita de juros sobre ativos rentáveis,Interest Income to Earning Assets Ratio,Ingreso por intereses sobre activos rentables
bank_equity_capital_per_assets,FLOAT64,Bank Equity Capital/Assets,,no,,percent,no,,EQV,Patrimônio líquido sobre ativos totais,Bank Equity Capital/Assets,Patrimonio neto sobre activos totales
net_income,FLOAT64,"Net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes.",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NETINC,"Receita líquida de juros mais receitas não decorrentes de juros mais ganhos (perdas) realizados com títulos e itens extraordinários, menos despesas não decorrentes de juros, provisões para perdas com empréstimos e impostos sobre a renda","Net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes.","Ingreso neto por intereses más ingresos no derivados de intereses más ganancias (pérdidas) realizadas en valores y partidas extraordinarias, menos gastos no derivados de intereses, provisiones para pérdidas por préstamos e impuestos sobre la renta"
net_loans_and_leases_per_deposits_ratio,FLOAT64,Net Loans & Leases/Deposits,,no,,percent,no,,LNLSDEPR,Empréstimos e arrendamentos líquidos sobre depósitos,Net Loans & Leases/Deposits,Préstamos y arrendamientos netos sobre depósitos
number_of_foreign_offices_ratio,FLOAT64,The number of foreign offices (outside the U.S.) operated by the institution.,,no,,percent,no,,OFFFOR,Número de agências no exterior (fora dos Estados Unidos) operadas pela instituição,The number of foreign offices (outside the U.S.) operated by the institution.,Número de oficinas en el exterior (fuera de los Estados Unidos) operadas por la institución
nonaccrual_total_assets,FLOAT64,Nonaccrual-Total Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NAASSET,Ativos em não acumulação de juros sobre ativos totais,Nonaccrual-Total Assets,Activos en no acumulación de intereses sobre activos totales
net_chargeoffs_per_loans_and_leases_ratio,FLOAT64,Net Charge-Offs/Loans & Leases,,no,,percent,no,,NTLNLSR,Baixas líquidas por perda sobre empréstimos e arrendamentos,Net Charge-Offs/Loans & Leases,Castigos netos por pérdida sobre préstamos y arrendamientos
estimated_uninsured_deposits,FLOAT64,Estimated Uninsured Deposits in Domestic Offices and in Insured Branches in US Territories and Possessions,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPUNINS,Depósitos não segurados estimados em agências domésticas e em agências seguradas nos territórios e possessões dos Estados Unidos,Estimated Uninsured Deposits in Domestic Offices and in Insured Branches in US Territories and Possessions,Depósitos no asegurados estimados en oficinas domésticas y en sucursales aseguradas en los territorios y posesiones de los Estados Unidos
noninterest_bearing_deposits_dom,FLOAT64,Noninterest-Bearing Deposits-Dom,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPNIDOM,Depósitos não remunerados em agências domésticas,Noninterest-Bearing Deposits-Dom,Depósitos no remunerados en oficinas domésticas
loan_loss_reserve_per_gross_loans_and_leases_ratio,FLOAT64,Loan Loss Reserve/Gross Loans & Leases,,no,,percent,no,,LNATRESR,Provisão para perdas sobre empréstimos e arrendamentos brutos,Loan Loss Reserve/Gross Loans & Leases,Provisión para pérdidas sobre préstamos y arrendamientos brutos
sold_w_per_recourse_n_per_secur_oth,FLOAT64,Sold W/Recourse N/Secur. - Oth,,no,,percent,no,,ASDROTH,Demais ativos vendidos com coobrigação e não securitizados,Sold W/Recourse N/Secur. - Oth,Demás activos vendidos con recurso y no securitizados
real_estate_principal_securitised_asset_sold_szlnres,FLOAT64,Real Estate Principal Securitised Asset Sold-Res,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNRES,Principal de ativos imobiliários residenciais securitizados e vendidos,Real Estate Principal Securitised Asset Sold-Res,Principal de activos inmobiliarios residenciales securitizados y vendidos
commercial_real_estate_chargeoff_per_comm_ratio,FLOAT64,Commercial Real Estate Charge-Off/Comm Real Estate Ln,,no,,percent,no,,NTCOMRER,Baixas por perda sobre empréstimos imobiliários comerciais,Commercial Real Estate Charge-Off/Comm Real Estate Ln,Castigos por pérdida sobre préstamos inmobiliarios comerciales
total_interest_expense,FLOAT64,Total Interest Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EINTEXP,Despesa total de juros,Total Interest Expense,Gasto total por intereses
deposit_liabilities_after_exclusions,FLOAT64,Deposit Liabilities After Exclusions,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPCSBQ,Passivos de depósito após exclusões,Deposit Liabilities After Exclusions,Pasivos por depósitos después de exclusiones
core_deposits,FLOAT64,Core Deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",COREDEP,Depósitos estáveis,Core Deposits,Depósitos estables
call_form_number,FLOAT64,TBD,,no,,unit,no,,CALLFORM,A definir pelo FDIC,TBD,Por definir por la FDIC
federal_reserve_id_number,FLOAT64,Federal Reserve Id Number,,no,,unit,no,,RSSDID,Número de identificação no Federal Reserve,Federal Reserve Id Number,Número de identificación en la Reserva Federal
community_bank_ratio,FLOAT64,Community Bank Ratio,,no,,percent,no,,CBLRIND,Índice de alavancagem simplificado para bancos comunitários,Community Bank Ratio,Índice de apalancamiento simplificado para bancos comunitarios
securities,FLOAT64,Securities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SC,Títulos e valores mobiliários,Securities,Valores
loan_loss_prov_per_nt_chg_offs_ratio,FLOAT64,Loan Loss Prov/Nt Chg-Offs,,no,,percent,no,,ELNANTR,Provisão para perdas sobre baixas líquidas por perda,Loan Loss Prov/Nt Chg-Offs,Provisión para pérdidas sobre castigos netos por pérdida
nonperf_assets_per_total_assets,FLOAT64,Nonperf Assets/Total Assets,,no,,percent,no,,NPERFV,Ativos inadimplentes sobre ativos totais,Nonperf Assets/Total Assets,Activos en incumplimiento sobre activos totales
loan_loss_reserve_per_n_per_c_loans_ratio,FLOAT64,Loan Loss Reserve/N/C Loans,,no,,percent,no,,LNRESNCR,Provisão para perdas sobre empréstimos inadimplentes,Loan Loss Reserve/N/C Loans,Provisión para pérdidas sobre préstamos en incumplimiento
number_of_full_time_employees,FLOAT64,Number of Full Time Employees,,no,,unit,no,,NUMEMP,Número de funcionários em tempo integral,Number of Full Time Employees,Número de empleados de tiempo completo
total_assets,FLOAT64,"The sum of all assets owned by the institution including cash, loans, securities, bank premises and other assets. This total does not include off-balance-sheet accounts.",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ASSET,"Soma de todos os ativos da instituição, incluindo caixa, empréstimos, títulos, imóveis e demais ativos. Não inclui contas fora do balanço","The sum of all assets owned by the institution including cash, loans, securities, bank premises and other assets. This total does not include off-balance-sheet accounts.","Suma de todos los activos de la institución, incluyendo efectivo, préstamos, valores, inmuebles y demás activos. No incluye cuentas fuera de balance"
n_per_c_multifamly_real_estate_per_ratio,FLOAT64,N/C Multifamly Real Estate/Multifamly Real Estate,,no,,percent,no,,NCREMULR,Empréstimos imobiliários multifamiliares inadimplentes sobre o total dessa carteira,N/C Multifamly Real Estate/Multifamly Real Estate,Préstamos inmobiliarios multifamiliares en incumplimiento sobre el total de esa cartera
n_per_c_const_real_estate_per_const_real_ratio,FLOAT64,N/C Const Real Estate/Const Real Estate,,no,,percent,no,,NCRECONR,Empréstimos imobiliários para construção inadimplentes sobre o total dessa carteira,N/C Const Real Estate/Const Real Estate,Préstamos inmobiliarios para construcción en incumplimiento sobre el total de esa cartera
nonaccrual_total_loans_loss_sh,FLOAT64,Nonaccrual Total Loans - Loss Sh,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NALTOT,Empréstimos em não acumulação de juros sob acordo de perda compartilhada,Nonaccrual Total Loans - Loss Sh,Préstamos en no acumulación de intereses bajo acuerdo de pérdida compartida
net_loans_and_leases_to_core_deposits_ratio,FLOAT64,Net Loans and Leases to Core Deposits Ratio,,no,,percent,no,,IDLNCORR,Empréstimos e arrendamentos líquidos sobre depósitos estáveis,Net Loans and Leases to Core Deposits Ratio,Préstamos y arrendamientos netos sobre depósitos estables
real_estate_principal_securitised_asset_sold_szlauto,FLOAT64,Real Estate Principal Securitised Asset Sold - Auto,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLAUTO,Principal de ativos de financiamento de veículos securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Auto,Principal de activos de financiamiento de vehículos securitizados y vendidos
n_90_days_p_per_d_total_assets,FLOAT64,90+ Days P/D-Total Assets,,no,,percent,no,,P9ASSET,Ativos com atraso de 90 dias ou mais sobre ativos totais,90+ Days P/D-Total Assets,Activos con mora de 90 días o más sobre activos totales
n_30_89_days_p_per_d_total_assets,FLOAT64,30-89 Days P/D-Total Assets,,no,,percent,no,,P3ASSET,Ativos com atraso de 30 a 89 dias sobre ativos totais,30-89 Days P/D-Total Assets,Activos con mora de 30 a 89 días sobre activos totales
total_allowable_exclusions_including_foreign,FLOAT64,Total Allowable Exclusions (Including Foreign Deposits),,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPALLEX,Total de exclusões admissíveis (incluindo depósitos no exterior),Total Allowable Exclusions (Including Foreign Deposits),Total de exclusiones admisibles (incluyendo depósitos en el exterior)
total_liabilities,FLOAT64,Total Liabilities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LIAB,Passivos totais,Total Liabilities,Pasivos totales
applicable_income_taxes,FLOAT64,Applicable Income Taxes,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ITAX,Impostos sobre a renda aplicáveis,Applicable Income Taxes,Impuestos sobre la renta aplicables
trading_accounts,FLOAT64,Trading Accounts,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",TRADE,Contas de negociação,Trading Accounts,Cuentas de negociación
net_interest_margin,FLOAT64,Net Interest Margin,,no,,percent,no,,NIMY,Margem financeira líquida,Net Interest Margin,Margen financiero neto
estimated_insured_deposits,FLOAT64,Estimated Insured Deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DEPINS,Depósitos segurados estimados,Estimated Insured Deposits,Depósitos asegurados estimados
net_operating_income_adj,FLOAT64,Net Operating Income-Adj,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NOIJ,Resultado operacional líquido ajustado,Net Operating Income-Adj,Resultado operativo neto ajustado
net_operating_income_adj_per_assets,FLOAT64,Net Operating Income-Adj/Assets,,no,,percent,no,,NOIJY,Resultado operacional líquido ajustado sobre ativos,Net Operating Income-Adj/Assets,Resultado operativo neto ajustado sobre activos
commercial_and_industrial_loans_ratio,FLOAT64,Commercial & Industrial Loans Ratio,,no,,percent,no,,IDNCCIR,Empréstimos comerciais e industriais como proporção da carteira,Commercial & Industrial Loans Ratio,Préstamos comerciales e industriales como proporción de la cartera
carry_amt_loss_share_ore,FLOAT64,Carry Amt Loss Share- Ore,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LSAORE,Valor contábil de imóveis retomados sob acordo de perda compartilhada,Carry Amt Loss Share- Ore,Valor contable de inmuebles adjudicados bajo acuerdo de pérdida compartida
provisions_for_credit_losses_ratio,FLOAT64,Provisions for Credit Losses,,no,,percent,no,,ELNATR,Provisões para perdas de crédito,Provisions for Credit Losses,Provisiones para pérdidas crediticias
real_estate_chargeoff_per_real_estate_loans_ratio,FLOAT64,Real Estate Charge-Off/Real Estate Loans,,no,,percent,no,,NTRER,Baixas por perda sobre empréstimos imobiliários,Real Estate Charge-Off/Real Estate Loans,Castigos por pérdida sobre préstamos inmobiliarios
total_interest_income,FLOAT64,Total Interest Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",INTINC,Receita total de juros,Total Interest Income,Ingreso total por intereses
net_inc_bank_and_minority_int,FLOAT64,Net Inc - Bank & Minority Int,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NETINBM,Lucro líquido do banco e de participações minoritárias,Net Inc - Bank & Minority Int,Utilidad neta del banco y de participaciones minoritarias
sale_of_capital_stock,FLOAT64,Sale of Capital Stock,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQCSTKRX,Emissão de ações,Sale of Capital Stock,Emisión de acciones
unused_commit_total,FLOAT64,Unused Commit-Total,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",UC,Total de compromissos de crédito não utilizados,Unused Commit-Total,Total de compromisos de crédito no utilizados
carry_amt_loss_share_lnls,FLOAT64,Carry Amt Loss Share-Lnls,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LSALNLS,Valor contábil de empréstimos e arrendamentos sob acordo de perda compartilhada,Carry Amt Loss Share-Lnls,Valor contable de préstamos y arrendamientos bajo acuerdo de pérdida compartida
total_loans_and_leases_net_chargeoffs,FLOAT64,Total Loans & Leases Net Charge-Offs,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NTLNLS,Baixas líquidas por perda de empréstimos e arrendamentos,Total Loans & Leases Net Charge-Offs,Castigos netos por pérdida de préstamos y arrendamientos
earning_assets_per_total_assets_ratio,FLOAT64,Earning Assets / Total Assets,,no,,percent,no,,ERNASTR,Ativos rentáveis sobre ativos totais,Earning Assets / Total Assets,Activos rentables sobre activos totales
n_per_c_lns_and_ls_per_gross_lns_and_ls_ratio,FLOAT64,N/C Lns & Ls/Gross Lns & Ls,,no,,percent,no,,NCLNLSR,Empréstimos e arrendamentos inadimplentes sobre a carteira bruta,N/C Lns & Ls/Gross Lns & Ls,Préstamos y arrendamientos en incumplimiento sobre la cartera bruta
loans_and_leases_net,FLOAT64,Loans and Leases-Net,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNLSNET,Empréstimos e arrendamentos líquidos,Loans and Leases-Net,Préstamos y arrendamientos netos
loans_to_nondep_financial_inst_con,FLOAT64,LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS ON A CONSOLIDATED BANK BASIS. NOTE: 1) REPORTED IN THE CATEGORY OF LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS AND ALL OTHER LOANS. 2) THIS ITEM IS NOT REPORTED BY FORM 041 OR 051 FILERS.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNNDEPC,Empréstimos a instituições financeiras não depositárias em base bancária consolidada. Nota: 1) reportado na categoria de empréstimos a instituições financeiras não depositárias e demais empréstimos; 2) não é reportado por quem entrega os formulários 041 ou 051,LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS ON A CONSOLIDATED BANK BASIS. NOTE: 1) REPORTED IN THE CATEGORY OF LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS AND ALL OTHER LOANS. 2) THIS ITEM IS NOT REPORTED BY FORM 041 OR 051 FILERS.,Préstamos a instituciones financieras no depositarias en base bancaria consolidada. Nota: 1) se reporta en la categoría de préstamos a instituciones financieras no depositarias y demás préstamos; 2) no lo reportan quienes presentan los formularios 041 o 051
loans_to_nondep_financial_inst_dom,FLOAT64,LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS HELD IN DOMESTIC OFFICES.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNNDEPD,Empréstimos a instituições financeiras não depositárias mantidos em agências domésticas,LOANS TO NONDEPOSITORY FINANCIAL INSTITUTIONS HELD IN DOMESTIC OFFICES.,Préstamos a instituciones financieras no depositarias mantenidos en oficinas domésticas
total_deposits_for_ratio,FLOAT64,Total Deposits-for,,no,,percent,no,,DEPFOR,Depósitos em agências no exterior,Total Deposits-for,Depósitos en oficinas del exterior
n_per_c_nonfarm_nonresidential_real_estate_ratio,FLOAT64,N/C Nonfarm Nonresidential Real Estate/Nonresidential Real Estate,,no,,percent,no,,NCRENRER,Empréstimos imobiliários não rurais e não residenciais inadimplentes sobre o total dessa carteira,N/C Nonfarm Nonresidential Real Estate/Nonresidential Real Estate,Préstamos inmobiliarios no rurales y no residenciales en incumplimiento sobre el total de esa cartera
return_on_assets_roa,FLOAT64,Net income after taxes and extraordinary items (annualized) as a percent of average total assets.,,no,,percent,no,,ROA,Lucro líquido após impostos e itens extraordinários (anualizado) como percentual dos ativos totais médios,Net income after taxes and extraordinary items (annualized) as a percent of average total assets.,Utilidad neta después de impuestos y partidas extraordinarias (anualizada) como porcentaje de los activos totales promedio
n_30_89_d_p_per_d_total_loans_loss_sh,FLOAT64,30-89 D P/D Total Loans-Loss Sh,,no,,percent,no,,P3LTOT,Empréstimos com atraso de 30 a 89 dias sob acordo de perda compartilhada,30-89 D P/D Total Loans-Loss Sh,Préstamos con mora de 30 a 89 días bajo acuerdo de pérdida compartida
cash_dividends_on_comm_and_pref,FLOAT64,Cash Dividends On Comm & Pref,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQCDIV,Dividendos pagos sobre ações ordinárias e preferenciais,Cash Dividends On Comm & Pref,Dividendos pagados sobre acciones ordinarias y preferentes
retained_earnings_per_avg_bk_equity_ratio,FLOAT64,Retained Earnings/Avg Bk Equity,,no,,percent,no,,ROEINJR,Lucros retidos sobre o patrimônio líquido médio,Retained Earnings/Avg Bk Equity,Utilidades retenidas sobre el patrimonio neto promedio
return_on_equity_roe,FLOAT64,"Annualized net income as a percent of average equity on a consolidated basis.     Note: If retained earnings are  negative, the ratio is shown as NA.",,no,,percent,no,,ROE,"Lucro líquido anualizado como percentual do patrimônio líquido médio em base consolidada. Nota: se os lucros acumulados forem negativos, o índice é apresentado como NA","Annualized net income as a percent of average equity on a consolidated basis.     Note: If retained earnings are  negative, the ratio is shown as NA.","Utilidad neta anualizada como porcentaje del patrimonio neto promedio en base consolidada. Nota: si las utilidades acumuladas son negativas, el índice se presenta como NA"
real_estate_principal_securitised_asset_sold_szlnhel,FLOAT64,Real Estate Principal Securitised Asset Sold - Hel,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNHEL,Principal de ativos de crédito com garantia imobiliária securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Hel,Principal de activos de crédito con garantía inmobiliaria securitizados y vendidos
real_estate_principal_securitised_asset_sold_szlncrcd,FLOAT64,Real Estate Principal Securitised Asset Sold - Crcd,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SZLNCRCD,Principal de ativos de cartão de crédito securitizados e vendidos,Real Estate Principal Securitised Asset Sold - Crcd,Principal de activos de tarjeta de crédito securitizados y vendidos
