name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
hispanic_origin_race_recode,STRING,"Origem hispânica e raça ponte combinadas sob o padrão OMB de 1977, de 1989 a 2020","Combined Hispanic origin and bridged race under the 1977 OMB standard, 1989 to 2020","Origen hispano y raza puente combinados bajo el estándar OMB de 1977, de 1989 a 2020",1989(1)2020,no,,,no,"Hispanic origin by BRIDGED race (1977 OMB standards), 1989-2020. Width 1 separates it from the 1997-standard recode below; NCHS states the two are not comparable, and 2021 is not populated in the source",hspanicr
hispanic_origin_race_recode_1997,STRING,"Origem hispânica e raça única combinadas sob o padrão OMB de 1997, a partir de 2022; não comparável à versão anterior","Combined Hispanic origin and single race under the 1997 OMB standard, from 2022 onward; not comparable to the earlier version","Origen hispano y raza única combinados bajo el estándar OMB de 1997, desde 2022; no comparable con la versión anterior",2022(1)2024,no,,,no,"Hispanic origin by SINGLE race (1997 OMB standards), 2022 onward. NOT comparable to hispanic_origin_race_recode",hspanicr
education_years,INT64,"Anos de estudo concluídos, conforme a certidão de 1989; não comparável a education_code",Years of schooling completed under the 1989 certificate; not comparable to education_code,Años de escolaridad completados según el certificado de 1989; no comparable con education_code,1989(1)2020,no,,year,no,1989 certificate: YEARS of schooling completed. Width 2 disambiguates it from the 2003-revision `educ`. NOT comparable to education_code,educ1989|educ89|educ
education_code,STRING,"Escolaridade em categorias, conforme a certidão de 2003; não comparável a education_years",Educational attainment in categories under the 2003 certificate; not comparable to education_years,Nivel educativo en categorías según el certificado de 2003; no comparable con education_years,2003(1)2024,yes,,,no,2003 certificate: CATEGORIES. NOT comparable to education_years,educ2003|educ
education_reporting_flag,STRING,Indicador de qual revisão da certidão foi usada para a escolaridade,Flag indicating which certificate revision was used for education,Indicador de qué revisión del certificado se usó para la educación,2003(1)2024,yes,,,no,,educflag
marital_status,STRING,Estado civil do falecido,Marital status of the decedent,Estado civil del fallecido,1979(1)2024,yes,,,no,1979 onward,marstat
place_of_death,STRING,Local do óbito e situação do falecido no atendimento,Place of death and status of the decedent at the point of care,Lugar de la defunción y situación del fallecido en la atención,1989(1)2024,yes,,,no,1989 onward,placdth
manner_of_death,STRING,"Circunstância do óbito, como acidente, suicídio ou homicídio","Manner of death, such as accident, suicide or homicide","Circunstancia de la defunción, como accidente, suicidio u homicidio",1999(1)2024,yes,,,no,,mandeath
underlying_cause_code,STRING,Código CID da causa básica do óbito; a revisão da CID varia por ano e consta em icd_revision,ICD code for the underlying cause of death; the ICD revision varies by year and is given in icd_revision,Código CIE de la causa básica de defunción; la revisión de la CIE varía por año y consta en icd_revision,1968(1)2024,no,,,no,"underlying cause of death; the ICD revision varies by year, see icd_revision",ucod
icd_revision,STRING,Revisão da CID vigente para o código de causa básica no ano do óbito,ICD revision in force for the underlying cause code in the year of death,Revisión de la CIE vigente para el código de causa básica en el año de defunción,1968(1)2024,yes,,,no,"derived: ICD-8 for 1968-1978, ICD-9 for 1979-1998, ICD-10 from 1999",
cause_recode_113,STRING,"Causa básica agrupada em 113 categorias, baseada na CID-10","Underlying cause grouped into 113 categories, based on ICD-10","Causa básica agrupada en 113 categorías, basada en la CIE-10",1999(1)2024,no,,,no,"ICD-10 based, 1999 onward",ucr113
cause_recode_358,STRING,"Causa básica agrupada em 358 categorias, baseada na CID-10","Underlying cause grouped into 358 categories, based on ICD-10","Causa básica agrupada en 358 categorías, basada en la CIE-10",1999(1)2024,no,,,no,"ICD-10 based, 1999 onward",ucr358
cause_recode_39,STRING,"Causa básica agrupada em 39 categorias, baseada na CID-10","Underlying cause grouped into 39 categories, based on ICD-10","Causa básica agrupada en 39 categorías, basada en la CIE-10",1999(1)2024,no,,,no,"ICD-10 based, 1999 onward",ucr39
cause_recode_72,STRING,"Causa básica agrupada em 72 categorias, baseada na CID-9, de 1979 a 1998","Underlying cause grouped into 72 categories, based on ICD-9, 1979 to 1998","Causa básica agrupada en 72 categorías, basada en la CIE-9, de 1979 a 1998",1979(1)1998,no,,,no,"ICD-9 based, 1979-1998",ucr72
record_axis_condition_count,INT64,Número de condições registradas no eixo de registro do atestado,Number of conditions recorded on the record axis of the certificate,Número de condiciones registradas en el eje de registro del certificado,1968(1)2024,no,,,no,,ranum
autopsy,STRING,Indicador de realização de autópsia,Whether an autopsy was performed,Indicador de realización de autopsia,"1968(1)1994, 2003(1)2024",yes,,,no,,autopsy
injury_at_work,STRING,Indicador de que a lesão que causou o óbito ocorreu no trabalho,Whether the injury that caused death occurred at work,Indicador de que la lesión que causó la defunción ocurrió en el trabajo,1993(1)2024,yes,,,no,1993 onward,injwork
