product,year,variable,start_col,width,stata_type,source_label
death,1969,eniflag7,156,1,byte,
death,1969,entity8,157,8,str8,
death,1969,econdp_8,157,1,byte,
death,1969,econds_8,158,2,str2,
death,1969,enicon_8,160,4,str4,
death,1969,eniflag8,164,1,byte,
death,1969,entity9,165,8,str8,
death,1969,econdp_9,165,1,byte,
death,1969,econds_9,166,2,str2,
death,1969,enicon_9,168,4,str4,
death,1969,eniflag9,172,1,byte,
death,1969,entity10,173,8,str8,
death,1969,econdp_10,173,1,byte,
death,1969,econds_10,174,2,str2,
death,1969,enicon_10,176,4,str4,
death,1969,eniflag10,180,1,byte,
death,1969,entity11,181,8,str8,
death,1969,econdp_11,181,1,byte,
death,1969,econds_11,182,2,str2,
death,1969,enicon_11,184,4,str4,
death,1969,eniflag11,188,1,byte,
death,1969,entity12,189,8,str8,
death,1969,econdp_12,189,1,byte,
death,1969,econds_12,190,2,str2,
death,1969,enicon_12,192,4,str4,
death,1969,eniflag12,196,1,byte,
death,1969,entity13,197,8,str8,
death,1969,econdp_13,197,1,byte,
death,1969,econds_13,198,2,str2,
death,1969,enicon_13,200,4,str4,
death,1969,eniflag13,204,1,byte,
death,1969,entity14,205,8,str8,
death,1969,econdp_14,205,1,byte,
death,1969,econds_14,206,2,str2,
death,1969,enicon_14,208,4,str4,
death,1969,eniflag14,212,1,byte,
death,1969,ranum,213,2,byte,
death,1969,record_1,215,5,str5,
death,1969,rnifla_1,219,1,byte,
death,1969,record_2,220,5,str5,
death,1969,rnifla_2,224,1,byte,
death,1969,record_3,225,5,str5,
death,1969,rnifla_3,229,1,byte,
death,1969,record_4,230,5,str5,
death,1969,rnifla_4,234,1,byte,
death,1969,record_5,235,5,str5,
death,1969,rnifla_5,239,1,byte,
death,1969,record_6,240,5,str5,
death,1969,rnifla_6,244,1,byte,
death,1969,record_7,245,5,str5,
death,1969,rnifla_7,249,1,byte,
death,1969,record_8,250,5,str5,
death,1969,rnifla_8,254,1,byte,
death,1969,record_9,255,5,str5,
death,1969,rnifla_9,259,1,byte,
death,1969,record_10,260,5,str5,
death,1969,rnifla_10,264,1,byte,
death,1969,record_11,265,5,str5,
death,1969,rnifla_11,269,1,byte,
death,1969,record_12,270,5,str5,
death,1969,rnifla_12,274,1,byte,
death,1969,record_13,275,5,str5,
death,1969,rnifla_13,279,1,byte,
death,1969,record_14,280,5,str5,
death,1969,rnifla_14,284,1,byte,
death,1970,datayear,1,1,byte,
death,1970,shipno,2,2,str2,
death,1970,reparea,4,1,byte,
death,1970,rectype,11,1,byte,
death,1970,restatus,12,1,byte,
death,1970,countyrs,13,5,str5,
death,1970,staters,13,2,str2,
death,1970,cityrs,18,3,str3,
death,1970,popsize,21,1,str1,
death,1970,smsares,22,3,str3,
death,1970,metro,25,1,str1,
death,1970,stateoc,26,2,str2,
death,1970,countyoc,26,5,str5,
death,1970,monthdth,31,2,byte,
death,1970,sex,35,1,byte,
death,1970,race,36,1,byte,
death,1970,racer2,37,1,byte,
death,1970,racer3,38,1,byte,
death,1970,age,39,3,int,
death,1970,ager12,42,2,byte,
death,1970,ager27,44,2,byte,
death,1970,ager22,46,2,byte,
death,1970,divstres,48,2,byte,
death,1970,divstoc,50,2,byte,
death,1970,autopsy,52,1,byte,
death,1970,ucod,60,4,str4,
death,1970,ucr281,64,5,long,
death,1970,ucr69,69,3,int,
death,1970,ucr65,72,3,int,
death,1970,ucr34,75,3,int,
death,1970,accident,91,1,byte,
death,1970,seqnum,92,7,long,
death,1970,eanum,99,2,byte,
death,1970,entity1,101,8,str8,
death,1970,econdp_1,101,1,byte,
death,1970,econds_1,102,2,str2,
death,1970,enicon_1,104,4,str4,
death,1970,eniflag1,108,1,byte,
death,1970,entity2,109,8,str8,
death,1970,econdp_2,109,1,byte,
death,1970,econds_2,110,2,str2,
death,1970,enicon_2,112,4,str4,
death,1970,eniflag2,116,1,byte,
death,1970,entity3,117,8,str8,
death,1970,econdp_3,117,1,byte,
death,1970,econds_3,118,2,str2,
death,1970,enicon_3,120,4,str4,
death,1970,eniflag3,124,1,byte,
death,1970,entity4,125,8,str8,
death,1970,econdp_4,125,1,byte,
death,1970,econds_4,126,2,str2,
death,1970,enicon_4,128,4,str4,
death,1970,eniflag4,132,1,byte,
death,1970,entity5,133,8,str8,
death,1970,econdp_5,133,1,byte,
death,1970,econds_5,134,2,str2,
death,1970,enicon_5,136,4,str4,
death,1970,eniflag5,140,1,byte,
death,1970,entity6,141,8,str8,
death,1970,econdp_6,141,1,byte,
death,1970,econds_6,142,2,str2,
death,1970,enicon_6,144,4,str4,
death,1970,eniflag6,148,1,byte,
death,1970,entity7,149,8,str8,
death,1970,econdp_7,149,1,byte,
death,1970,econds_7,150,2,str2,
death,1970,enicon_7,152,4,str4,
death,1970,eniflag7,156,1,byte,
death,1970,entity8,157,8,str8,
death,1970,econdp_8,157,1,byte,
death,1970,econds_8,158,2,str2,
death,1970,enicon_8,160,4,str4,
death,1970,eniflag8,164,1,byte,
death,1970,entity9,165,8,str8,
death,1970,econdp_9,165,1,byte,
death,1970,econds_9,166,2,str2,
death,1970,enicon_9,168,4,str4,
death,1970,eniflag9,172,1,byte,
death,1970,entity10,173,8,str8,
death,1970,econdp_10,173,1,byte,
death,1970,econds_10,174,2,str2,
death,1970,enicon_10,176,4,str4,
death,1970,eniflag10,180,1,byte,
death,1970,entity11,181,8,str8,
death,1970,econdp_11,181,1,byte,
death,1970,econds_11,182,2,str2,
death,1970,enicon_11,184,4,str4,
death,1970,eniflag11,188,1,byte,
death,1970,entity12,189,8,str8,
death,1970,econdp_12,189,1,byte,
death,1970,econds_12,190,2,str2,
death,1970,enicon_12,192,4,str4,
death,1970,eniflag12,196,1,byte,
death,1970,entity13,197,8,str8,
death,1970,econdp_13,197,1,byte,
death,1970,econds_13,198,2,str2,
death,1970,enicon_13,200,4,str4,
death,1970,eniflag13,204,1,byte,
death,1970,entity14,205,8,str8,
death,1970,econdp_14,205,1,byte,
death,1970,econds_14,206,2,str2,
death,1970,enicon_14,208,4,str4,
death,1970,eniflag14,212,1,byte,
death,1970,ranum,213,2,byte,
death,1970,record_1,215,5,str5,
death,1970,rnifla_1,219,1,byte,
death,1970,record_2,220,5,str5,
death,1970,rnifla_2,224,1,byte,
death,1970,record_3,225,5,str5,
death,1970,rnifla_3,229,1,byte,
death,1970,record_4,230,5,str5,
death,1970,rnifla_4,234,1,byte,
death,1970,record_5,235,5,str5,
death,1970,rnifla_5,239,1,byte,
death,1970,record_6,240,5,str5,
death,1970,rnifla_6,244,1,byte,
death,1970,record_7,245,5,str5,
death,1970,rnifla_7,249,1,byte,
death,1970,record_8,250,5,str5,
death,1970,rnifla_8,254,1,byte,
death,1970,record_9,255,5,str5,
death,1970,rnifla_9,259,1,byte,
death,1970,record_10,260,5,str5,
death,1970,rnifla_10,264,1,byte,
death,1970,record_11,265,5,str5,
death,1970,rnifla_11,269,1,byte,
death,1970,record_12,270,5,str5,
death,1970,rnifla_12,274,1,byte,
death,1970,record_13,275,5,str5,
death,1970,rnifla_13,279,1,byte,
death,1970,record_14,280,5,str5,
death,1970,rnifla_14,284,1,byte,
death,1971,datayear,1,1,byte,
death,1971,shipno,2,2,str2,
death,1971,reparea,4,1,byte,
death,1971,rectype,11,1,byte,
death,1971,restatus,12,1,byte,
death,1971,countyrs,13,5,str5,
death,1971,staters,13,2,str2,
death,1971,cityrs,18,3,str3,
death,1971,popsize,21,1,str1,
death,1971,smsares,22,3,str3,
death,1971,metro,25,1,str1,
death,1971,stateoc,26,2,str2,
death,1971,countyoc,26,5,str5,
death,1971,monthdth,31,2,byte,
death,1971,sex,35,1,byte,
death,1971,race,36,1,byte,
death,1971,racer2,37,1,byte,
death,1971,racer3,38,1,byte,
death,1971,age,39,3,int,
death,1971,ager12,42,2,byte,
death,1971,ager27,44,2,byte,
death,1971,ager22,46,2,byte,
death,1971,divstres,48,2,byte,
death,1971,divstoc,50,2,byte,
death,1971,autopsy,52,1,byte,
death,1971,ucod,60,4,str4,
death,1971,ucr281,64,5,long,
death,1971,ucr69,69,3,int,
death,1971,ucr65,72,3,int,
death,1971,ucr34,75,3,int,
death,1971,accident,91,1,byte,
death,1971,seqnum,92,7,long,
death,1971,eanum,99,2,byte,
death,1971,entity1,101,8,str8,
death,1971,econdp_1,101,1,byte,
death,1971,econds_1,102,2,str2,
death,1971,enicon_1,104,4,str4,
death,1971,eniflag1,108,1,byte,
death,1971,entity2,109,8,str8,
death,1971,econdp_2,109,1,byte,
death,1971,econds_2,110,2,str2,
death,1971,enicon_2,112,4,str4,
death,1971,eniflag2,116,1,byte,
death,1971,entity3,117,8,str8,
death,1971,econdp_3,117,1,byte,
death,1971,econds_3,118,2,str2,
death,1971,enicon_3,120,4,str4,
death,1971,eniflag3,124,1,byte,
death,1971,entity4,125,8,str8,
death,1971,econdp_4,125,1,byte,
death,1971,econds_4,126,2,str2,
death,1971,enicon_4,128,4,str4,
death,1971,eniflag4,132,1,byte,
death,1971,entity5,133,8,str8,
death,1971,econdp_5,133,1,byte,
death,1971,econds_5,134,2,str2,
death,1971,enicon_5,136,4,str4,
death,1971,eniflag5,140,1,byte,
death,1971,entity6,141,8,str8,
death,1971,econdp_6,141,1,byte,
death,1971,econds_6,142,2,str2,
death,1971,enicon_6,144,4,str4,
death,1971,eniflag6,148,1,byte,
death,1971,entity7,149,8,str8,
death,1971,econdp_7,149,1,byte,
death,1971,econds_7,150,2,str2,
death,1971,enicon_7,152,4,str4,
death,1971,eniflag7,156,1,byte,
death,1971,entity8,157,8,str8,
death,1971,econdp_8,157,1,byte,
death,1971,econds_8,158,2,str2,
death,1971,enicon_8,160,4,str4,
death,1971,eniflag8,164,1,byte,
death,1971,entity9,165,8,str8,
death,1971,econdp_9,165,1,byte,
death,1971,econds_9,166,2,str2,
death,1971,enicon_9,168,4,str4,
death,1971,eniflag9,172,1,byte,
death,1971,entity10,173,8,str8,
death,1971,econdp_10,173,1,byte,
death,1971,econds_10,174,2,str2,
death,1971,enicon_10,176,4,str4,
death,1971,eniflag10,180,1,byte,
death,1971,entity11,181,8,str8,
death,1971,econdp_11,181,1,byte,
death,1971,econds_11,182,2,str2,
death,1971,enicon_11,184,4,str4,
death,1971,eniflag11,188,1,byte,
death,1971,entity12,189,8,str8,
death,1971,econdp_12,189,1,byte,
death,1971,econds_12,190,2,str2,
death,1971,enicon_12,192,4,str4,
death,1971,eniflag12,196,1,byte,
death,1971,entity13,197,8,str8,
death,1971,econdp_13,197,1,byte,
death,1971,econds_13,198,2,str2,
death,1971,enicon_13,200,4,str4,
death,1971,eniflag13,204,1,byte,
death,1971,entity14,205,8,str8,
death,1971,econdp_14,205,1,byte,
death,1971,econds_14,206,2,str2,
death,1971,enicon_14,208,4,str4,
death,1971,eniflag14,212,1,byte,
death,1971,ranum,213,2,byte,
death,1971,record_1,215,5,str5,
death,1971,rnifla_1,219,1,byte,
death,1971,record_2,220,5,str5,
death,1971,rnifla_2,224,1,byte,
death,1971,record_3,225,5,str5,
death,1971,rnifla_3,229,1,byte,
death,1971,record_4,230,5,str5,
death,1971,rnifla_4,234,1,byte,
death,1971,record_5,235,5,str5,
death,1971,rnifla_5,239,1,byte,
death,1971,record_6,240,5,str5,
death,1971,rnifla_6,244,1,byte,
death,1971,record_7,245,5,str5,
death,1971,rnifla_7,249,1,byte,
death,1971,record_8,250,5,str5,
death,1971,rnifla_8,254,1,byte,
death,1971,record_9,255,5,str5,
death,1971,rnifla_9,259,1,byte,
death,1971,record_10,260,5,str5,
death,1971,rnifla_10,264,1,byte,
death,1971,record_11,265,5,str5,
death,1971,rnifla_11,269,1,byte,
death,1971,record_12,270,5,str5,
death,1971,rnifla_12,274,1,byte,
death,1971,record_13,275,5,str5,
death,1971,rnifla_13,279,1,byte,
death,1971,record_14,280,5,str5,
death,1971,rnifla_14,284,1,byte,
death,1972,datayear,1,1,byte,
death,1972,shipno,2,2,str2,
death,1972,reparea,4,1,byte,
death,1972,rectype,11,1,byte,
death,1972,restatus,12,1,byte,
death,1972,countyrs,13,5,str5,
death,1972,staters,13,2,str2,
death,1972,cityrs,18,3,str3,
death,1972,popsize,21,1,str1,
death,1972,smsares,22,3,str3,
death,1972,metro,25,1,str1,
death,1972,stateoc,26,2,str2,
death,1972,countyoc,26,5,str5,
death,1972,monthdth,31,2,byte,
death,1972,daydth,33,2,byte,
death,1972,sex,35,1,byte,
death,1972,race,36,1,byte,
death,1972,racer2,37,1,byte,
death,1972,racer3,38,1,byte,
death,1972,age,39,3,int,
death,1972,ager12,42,2,byte,
death,1972,ager27,44,2,byte,
death,1972,ager22,46,2,byte,
death,1972,divstres,48,2,byte,
death,1972,divstoc,50,2,byte,
death,1972,autopsy,52,1,byte,
death,1972,findings,53,1,byte,
death,1972,ucod,60,4,str4,
death,1972,ucr281,64,5,long,
death,1972,ucr69,69,3,int,
death,1972,ucr65,72,3,int,
death,1972,ucr34,75,3,int,
death,1972,accident,91,1,byte,
death,1972,seqnum,92,7,long,
death,1972,eanum,99,2,byte,
death,1972,entity1,101,8,str8,
death,1972,econdp_1,101,1,byte,
death,1972,econds_1,102,2,str2,
death,1972,enicon_1,104,4,str4,
death,1972,eniflag1,108,1,byte,
death,1972,entity2,109,8,str8,
death,1972,econdp_2,109,1,byte,
death,1972,econds_2,110,2,str2,
death,1972,enicon_2,112,4,str4,
death,1972,eniflag2,116,1,byte,
death,1972,entity3,117,8,str8,
death,1972,econdp_3,117,1,byte,
death,1972,econds_3,118,2,str2,
death,1972,enicon_3,120,4,str4,
death,1972,eniflag3,124,1,byte,
death,1972,entity4,125,8,str8,
death,1972,econdp_4,125,1,byte,
death,1972,econds_4,126,2,str2,
death,1972,enicon_4,128,4,str4,
death,1972,eniflag4,132,1,byte,
death,1972,entity5,133,8,str8,
death,1972,econdp_5,133,1,byte,
death,1972,econds_5,134,2,str2,
death,1972,enicon_5,136,4,str4,
death,1972,eniflag5,140,1,byte,
death,1972,entity6,141,8,str8,
death,1972,econdp_6,141,1,byte,
death,1972,econds_6,142,2,str2,
death,1972,enicon_6,144,4,str4,
death,1972,eniflag6,148,1,byte,
death,1972,entity7,149,8,str8,
death,1972,econdp_7,149,1,byte,
death,1972,econds_7,150,2,str2,
death,1972,enicon_7,152,4,str4,
death,1972,eniflag7,156,1,byte,
death,1972,entity8,157,8,str8,
death,1972,econdp_8,157,1,byte,
death,1972,econds_8,158,2,str2,
death,1972,enicon_8,160,4,str4,
death,1972,eniflag8,164,1,byte,
death,1972,entity9,165,8,str8,
death,1972,econdp_9,165,1,byte,
death,1972,econds_9,166,2,str2,
death,1972,enicon_9,168,4,str4,
death,1972,eniflag9,172,1,byte,
death,1972,entity10,173,8,str8,
death,1972,econdp_10,173,1,byte,
death,1972,econds_10,174,2,str2,
death,1972,enicon_10,176,4,str4,
death,1972,eniflag10,180,1,byte,
death,1972,entity11,181,8,str8,
death,1972,econdp_11,181,1,byte,
death,1972,econds_11,182,2,str2,
death,1972,enicon_11,184,4,str4,
death,1972,eniflag11,188,1,byte,
death,1972,entity12,189,8,str8,
death,1972,econdp_12,189,1,byte,
death,1972,econds_12,190,2,str2,
death,1972,enicon_12,192,4,str4,
death,1972,eniflag12,196,1,byte,
death,1972,entity13,197,8,str8,
death,1972,econdp_13,197,1,byte,
death,1972,econds_13,198,2,str2,
death,1972,enicon_13,200,4,str4,
death,1972,eniflag13,204,1,byte,
death,1972,entity14,205,8,str8,
death,1972,econdp_14,205,1,byte,
death,1972,econds_14,206,2,str2,
death,1972,enicon_14,208,4,str4,
death,1972,eniflag14,212,1,byte,
death,1972,ranum,213,2,byte,
death,1972,record_1,215,5,str5,
death,1972,rnifla_1,219,1,byte,
death,1972,record_2,220,5,str5,
death,1972,rnifla_2,224,1,byte,
death,1972,record_3,225,5,str5,
death,1972,rnifla_3,229,1,byte,
death,1972,record_4,230,5,str5,
death,1972,rnifla_4,234,1,byte,
death,1972,record_5,235,5,str5,
death,1972,rnifla_5,239,1,byte,
death,1972,record_6,240,5,str5,
death,1972,rnifla_6,244,1,byte,
death,1972,record_7,245,5,str5,
death,1972,rnifla_7,249,1,byte,
death,1972,record_8,250,5,str5,
death,1972,rnifla_8,254,1,byte,
death,1972,record_9,255,5,str5,
death,1972,rnifla_9,259,1,byte,
death,1972,record_10,260,5,str5,
death,1972,rnifla_10,264,1,byte,
death,1972,record_11,265,5,str5,
death,1972,rnifla_11,269,1,byte,
death,1972,record_12,270,5,str5,
death,1972,rnifla_12,274,1,byte,
death,1972,record_13,275,5,str5,
death,1972,rnifla_13,279,1,byte,
death,1972,record_14,280,5,str5,
death,1972,rnifla_14,284,1,byte,
death,1973,datayear,1,1,byte,
death,1973,shipno,2,2,str2,
death,1973,reparea,4,1,byte,
death,1973,rectype,11,1,byte,
death,1973,restatus,12,1,byte,
death,1973,countyrs,13,5,str5,
death,1973,staters,13,2,str2,
death,1973,cityrs,18,3,str3,
death,1973,popsize,21,1,str1,
death,1973,smsares,22,3,str3,
death,1973,metro,25,1,str1,
death,1973,stateoc,26,2,str2,
death,1973,countyoc,26,5,str5,
death,1973,monthdth,31,2,byte,
death,1973,daydth,33,2,byte,
death,1973,sex,35,1,byte,
death,1973,race,36,1,byte,
death,1973,racer2,37,1,byte,
death,1973,racer3,38,1,byte,
death,1973,age,39,3,int,
death,1973,ager12,42,2,byte,
death,1973,ager27,44,2,byte,
death,1973,ager22,46,2,byte,
death,1973,divstres,48,2,byte,
death,1973,divstoc,50,2,byte,
death,1973,autopsy,52,1,byte,
death,1973,findings,53,1,byte,
death,1973,ucod,60,4,str4,
death,1973,ucr281,64,5,long,
death,1973,ucr69,69,3,int,
death,1973,ucr65,72,3,int,
death,1973,ucr34,75,3,int,
death,1973,accident,91,1,byte,
death,1973,seqnum,92,7,long,
death,1973,eanum,99,2,byte,
death,1973,entity1,101,8,str8,
death,1973,econdp_1,101,1,byte,
death,1973,econds_1,102,2,str2,
death,1973,enicon_1,104,4,str4,
death,1973,eniflag1,108,1,byte,
death,1973,entity2,109,8,str8,
death,1973,econdp_2,109,1,byte,
death,1973,econds_2,110,2,str2,
death,1973,enicon_2,112,4,str4,
death,1973,eniflag2,116,1,byte,
death,1973,entity3,117,8,str8,
death,1973,econdp_3,117,1,byte,
death,1973,econds_3,118,2,str2,
death,1973,enicon_3,120,4,str4,
death,1973,eniflag3,124,1,byte,
death,1973,entity4,125,8,str8,
death,1973,econdp_4,125,1,byte,
death,1973,econds_4,126,2,str2,
death,1973,enicon_4,128,4,str4,
death,1973,eniflag4,132,1,byte,
death,1973,entity5,133,8,str8,
death,1973,econdp_5,133,1,byte,
death,1973,econds_5,134,2,str2,
death,1973,enicon_5,136,4,str4,
death,1973,eniflag5,140,1,byte,
death,1973,entity6,141,8,str8,
death,1973,econdp_6,141,1,byte,
death,1973,econds_6,142,2,str2,
death,1973,enicon_6,144,4,str4,
death,1973,eniflag6,148,1,byte,
death,1973,entity7,149,8,str8,
death,1973,econdp_7,149,1,byte,
death,1973,econds_7,150,2,str2,
death,1973,enicon_7,152,4,str4,
death,1973,eniflag7,156,1,byte,
death,1973,entity8,157,8,str8,
death,1973,econdp_8,157,1,byte,
death,1973,econds_8,158,2,str2,
death,1973,enicon_8,160,4,str4,
death,1973,eniflag8,164,1,byte,
death,1973,entity9,165,8,str8,
death,1973,econdp_9,165,1,byte,
death,1973,econds_9,166,2,str2,
death,1973,enicon_9,168,4,str4,
death,1973,eniflag9,172,1,byte,
death,1973,entity10,173,8,str8,
death,1973,econdp_10,173,1,byte,
death,1973,econds_10,174,2,str2,
death,1973,enicon_10,176,4,str4,
death,1973,eniflag10,180,1,byte,
death,1973,entity11,181,8,str8,
death,1973,econdp_11,181,1,byte,
death,1973,econds_11,182,2,str2,
death,1973,enicon_11,184,4,str4,
death,1973,eniflag11,188,1,byte,
death,1973,entity12,189,8,str8,
death,1973,econdp_12,189,1,byte,
death,1973,econds_12,190,2,str2,
death,1973,enicon_12,192,4,str4,
death,1973,eniflag12,196,1,byte,
death,1973,entity13,197,8,str8,
death,1973,econdp_13,197,1,byte,
death,1973,econds_13,198,2,str2,
death,1973,enicon_13,200,4,str4,
death,1973,eniflag13,204,1,byte,
death,1973,entity14,205,8,str8,
death,1973,econdp_14,205,1,byte,
death,1973,econds_14,206,2,str2,
death,1973,enicon_14,208,4,str4,
death,1973,eniflag14,212,1,byte,
death,1973,ranum,213,2,byte,
death,1973,record_1,215,5,str5,
death,1973,rnifla_1,219,1,byte,
death,1973,record_2,220,5,str5,
death,1973,rnifla_2,224,1,byte,
death,1973,record_3,225,5,str5,
death,1973,rnifla_3,229,1,byte,
death,1973,record_4,230,5,str5,
