product,year,column,bigquery_type,measurement_unit,source_variable,sentinels,note
birth,2022,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2023,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2024,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1968,birth_month,INT64,month,birmon,99,
birth,1970,birth_month,INT64,month,birmon,99,
birth,1971,birth_month,INT64,month,birmon,99,
birth,1972,birth_month,INT64,month,birmon,99,
birth,1973,birth_month,INT64,month,birmon,99,
birth,1974,birth_month,INT64,month,birmon,99,
birth,1975,birth_month,INT64,month,birmon,99,
birth,1976,birth_month,INT64,month,birmon,99,
birth,1977,birth_month,INT64,month,birmon,99,
birth,1978,birth_month,INT64,month,birmon,99,
birth,1979,birth_month,INT64,month,birmon,99,
birth,1980,birth_month,INT64,month,birmon,99,
birth,1981,birth_month,INT64,month,birmon,99,
birth,1982,birth_month,INT64,month,birmon,99,
birth,1983,birth_month,INT64,month,birmon,99,
birth,1984,birth_month,INT64,month,birmon,99,
birth,1985,birth_month,INT64,month,birmon,99,
birth,1986,birth_month,INT64,month,birmon,99,
birth,1987,birth_month,INT64,month,birmon,99,
birth,1988,birth_month,INT64,month,birmon,99,
birth,1989,birth_month,INT64,month,birmon,99,
birth,1990,birth_month,INT64,month,birmon,99,
birth,1991,birth_month,INT64,month,birmon,99,
birth,1992,birth_month,INT64,month,birmon,99,
birth,1993,birth_month,INT64,month,birmon,99,
birth,1994,birth_month,INT64,month,birmon,99,
birth,1995,birth_month,INT64,month,birmon,99,
birth,1996,birth_month,INT64,month,birmon,99,
birth,1997,birth_month,INT64,month,birmon,99,
birth,1998,birth_month,INT64,month,birmon,99,
birth,1999,birth_month,INT64,month,birmon,99,
birth,2000,birth_month,INT64,month,birmon,99,
birth,2001,birth_month,INT64,month,birmon,99,
birth,2002,birth_month,INT64,month,birmon,99,
birth,2003,birth_month,INT64,month,dob_mm,99,
birth,2004,birth_month,INT64,month,dob_mm,99,
birth,2005,birth_month,INT64,month,dob_mm,99,
birth,2006,birth_month,INT64,month,dob_mm,99,
birth,2007,birth_month,INT64,month,dob_mm,99,
birth,2008,birth_month,INT64,month,dob_mm,99,
birth,2009,birth_month,INT64,month,dob_mm,99,
birth,2010,birth_month,INT64,month,dob_mm,99,
birth,2011,birth_month,INT64,month,dob_mm,99,
birth,2012,birth_month,INT64,month,dob_mm,99,
birth,2013,birth_month,INT64,month,dob_mm,99,
birth,2014,birth_month,INT64,month,dob_mm,99,
birth,2015,birth_month,INT64,month,dob_mm,99,
birth,2016,birth_month,INT64,month,dob_mm,99,
birth,2017,birth_month,INT64,month,dob_mm,99,
birth,2018,birth_month,INT64,month,dob_mm,99,
birth,2019,birth_month,INT64,month,dob_mm,99,
birth,2020,birth_month,INT64,month,dob_mm,99,
birth,2021,birth_month,INT64,month,dob_mm,99,
birth,2022,birth_month,INT64,month,dob_mm,99,
birth,2023,birth_month,INT64,month,dob_mm,99,
birth,2024,birth_month,INT64,month,dob_mm,99,
birth,1968,birth_day_of_week,STRING,,,,2003+ only
birth,1970,birth_day_of_week,STRING,,,,2003+ only
birth,1971,birth_day_of_week,STRING,,,,2003+ only
birth,1972,birth_day_of_week,STRING,,,,2003+ only
birth,1973,birth_day_of_week,STRING,,,,2003+ only
birth,1974,birth_day_of_week,STRING,,,,2003+ only
birth,1975,birth_day_of_week,STRING,,,,2003+ only
birth,1976,birth_day_of_week,STRING,,,,2003+ only
birth,1977,birth_day_of_week,STRING,,,,2003+ only
birth,1978,birth_day_of_week,STRING,,,,2003+ only
birth,1979,birth_day_of_week,STRING,,,,2003+ only
birth,1980,birth_day_of_week,STRING,,,,2003+ only
birth,1981,birth_day_of_week,STRING,,,,2003+ only
birth,1982,birth_day_of_week,STRING,,,,2003+ only
birth,1983,birth_day_of_week,STRING,,,,2003+ only
birth,1984,birth_day_of_week,STRING,,,,2003+ only
birth,1985,birth_day_of_week,STRING,,,,2003+ only
birth,1986,birth_day_of_week,STRING,,,,2003+ only
birth,1987,birth_day_of_week,STRING,,,,2003+ only
birth,1988,birth_day_of_week,STRING,,,,2003+ only
birth,1989,birth_day_of_week,STRING,,,,2003+ only
birth,1990,birth_day_of_week,STRING,,,,2003+ only
birth,1991,birth_day_of_week,STRING,,,,2003+ only
birth,1992,birth_day_of_week,STRING,,,,2003+ only
birth,1993,birth_day_of_week,STRING,,,,2003+ only
birth,1994,birth_day_of_week,STRING,,,,2003+ only
birth,1995,birth_day_of_week,STRING,,,,2003+ only
birth,1996,birth_day_of_week,STRING,,,,2003+ only
birth,1997,birth_day_of_week,STRING,,,,2003+ only
birth,1998,birth_day_of_week,STRING,,,,2003+ only
birth,1999,birth_day_of_week,STRING,,,,2003+ only
birth,2000,birth_day_of_week,STRING,,,,2003+ only
birth,2001,birth_day_of_week,STRING,,,,2003+ only
birth,2002,birth_day_of_week,STRING,,,,2003+ only
birth,2003,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2004,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2005,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2006,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2007,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2008,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2009,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2010,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2011,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2012,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2013,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2014,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2015,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2016,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2017,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2018,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2019,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2020,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2021,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2022,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2023,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,2024,birth_day_of_week,STRING,,dob_wk,,2003+ only
birth,1968,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1970,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1971,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1972,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1973,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1974,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1975,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1976,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1977,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1978,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1979,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1980,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1981,state_residence_id,STRING,,stateres,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1982,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1983,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1984,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1985,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1986,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1987,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1988,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1989,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1990,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1991,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1992,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1993,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1994,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1995,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1996,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1997,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1998,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1999,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2000,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2001,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2002,state_residence_id,STRING,,stresfip,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2003,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2004,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2005,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2006,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2007,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2008,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2009,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2010,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2011,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2012,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2013,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2014,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2015,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2016,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2017,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2018,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2019,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2020,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2021,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2022,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2023,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,2024,state_residence_id,STRING,,,,FIPS. 1982-2002 native FIPS; 1968-1981 mapped from NCHS alphabetical code; absent 2005+
birth,1968,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1970,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1971,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1972,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1973,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1974,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1975,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1976,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1977,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1978,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1979,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1980,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1981,county_residence_id,STRING,,cntyres,,5-char state+county FIPS; absent 2005+
birth,1982,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1983,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1984,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1985,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1986,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1987,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1988,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1989,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1990,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1991,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1992,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1993,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1994,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1995,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1996,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1997,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1998,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,1999,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,2000,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,2001,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,2002,county_residence_id,STRING,,cntyrfip,,5-char state+county FIPS; absent 2005+
birth,2003,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2004,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2005,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2006,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2007,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2008,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2009,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2010,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2011,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2012,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2013,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2014,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2015,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2016,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2017,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2018,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2019,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2020,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2021,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2022,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2023,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,2024,county_residence_id,STRING,,,,5-char state+county FIPS; absent 2005+
birth,1968,residence_status,STRING,,restatus,,all years
birth,1970,residence_status,STRING,,restatus,,all years
birth,1971,residence_status,STRING,,restatus,,all years
birth,1972,residence_status,STRING,,restatus,,all years
birth,1973,residence_status,STRING,,restatus,,all years
birth,1974,residence_status,STRING,,restatus,,all years
birth,1975,residence_status,STRING,,restatus,,all years
birth,1976,residence_status,STRING,,restatus,,all years
birth,1977,residence_status,STRING,,restatus,,all years
birth,1978,residence_status,STRING,,restatus,,all years
birth,1979,residence_status,STRING,,restatus,,all years
birth,1980,residence_status,STRING,,restatus,,all years
birth,1981,residence_status,STRING,,restatus,,all years
birth,1982,residence_status,STRING,,restatus,,all years
birth,1983,residence_status,STRING,,restatus,,all years
birth,1984,residence_status,STRING,,restatus,,all years
birth,1985,residence_status,STRING,,restatus,,all years
birth,1986,residence_status,STRING,,restatus,,all years
birth,1987,residence_status,STRING,,restatus,,all years
birth,1988,residence_status,STRING,,restatus,,all years
birth,1989,residence_status,STRING,,restatus,,all years
birth,1990,residence_status,STRING,,restatus,,all years
birth,1991,residence_status,STRING,,restatus,,all years
birth,1992,residence_status,STRING,,restatus,,all years
birth,1993,residence_status,STRING,,restatus,,all years
birth,1994,residence_status,STRING,,restatus,,all years
birth,1995,residence_status,STRING,,restatus,,all years
birth,1996,residence_status,STRING,,restatus,,all years
birth,1997,residence_status,STRING,,restatus,,all years
birth,1998,residence_status,STRING,,restatus,,all years
birth,1999,residence_status,STRING,,restatus,,all years
birth,2000,residence_status,STRING,,restatus,,all years
birth,2001,residence_status,STRING,,restatus,,all years
birth,2002,residence_status,STRING,,restatus,,all years
birth,2003,residence_status,STRING,,restatus,,all years
birth,2004,residence_status,STRING,,restatus,,all years
birth,2005,residence_status,STRING,,restatus,,all years
birth,2006,residence_status,STRING,,restatus,,all years
birth,2007,residence_status,STRING,,restatus,,all years
birth,2008,residence_status,STRING,,restatus,,all years
birth,2009,residence_status,STRING,,restatus,,all years
birth,2010,residence_status,STRING,,restatus,,all years
birth,2011,residence_status,STRING,,restatus,,all years
birth,2012,residence_status,STRING,,restatus,,all years
birth,2013,residence_status,STRING,,restatus,,all years
birth,2014,residence_status,STRING,,restatus,,all years
birth,2015,residence_status,STRING,,restatus,,all years
birth,2016,residence_status,STRING,,restatus,,all years
birth,2017,residence_status,STRING,,restatus,,all years
birth,2018,residence_status,STRING,,restatus,,all years
birth,2019,residence_status,STRING,,restatus,,all years
birth,2020,residence_status,STRING,,restatus,,all years
birth,2021,residence_status,STRING,,restatus,,all years
birth,2022,residence_status,STRING,,restatus,,all years
birth,2023,residence_status,STRING,,restatus,,all years
birth,2024,residence_status,STRING,,restatus,,all years
birth,1968,county_residence_population_code,STRING,,,,"category, not a count"
birth,1970,county_residence_population_code,STRING,,,,"category, not a count"
birth,1971,county_residence_population_code,STRING,,,,"category, not a count"
