name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
obligated_amount_from_IIJA_supplemental_for_overall_award,FLOAT64,Valor empenhado no auxílio ou contrato com recursos suplementares da lei de infraestrutura (IIJA),Amount obligated on the award from the Infrastructure Investment and Jobs Act (IIJA) supplemental,Monto comprometido en la ayuda o contrato con recursos suplementarios de la ley de infraestructura (IIJA),,no,,USD,no,,obligated_amount_from_IIJA_supplemental_for_overall_award
action_date,DATE,Data em que a ação foi assinada ou passou a vigorar,Date the action was signed or became effective,Fecha en que la acción fue firmada o entró en vigor,,no,,,no,,action_date
period_of_performance_start_date,DATE,Data de início do período de execução,Start date of the period of performance,Fecha de inicio del período de ejecución,,no,,,no,,period_of_performance_start_date
period_of_performance_current_end_date,DATE,Data de término corrente do período de execução,Current end date of the period of performance,Fecha de término actual del período de ejecución,,no,,,no,,period_of_performance_current_end_date
period_of_performance_potential_end_date,DATE,Data de término do período de execução caso todas as opções sejam exercidas,End date of the period of performance if all options are exercised,Fecha de término del período de ejecución si se ejercen todas las opciones,,no,,,no,,period_of_performance_potential_end_date
ordering_period_end_date,DATE,Data-limite para emissão de novos pedidos sob o contrato-mãe,Last date on which new orders may be placed under the parent award,Fecha límite para emitir nuevos pedidos bajo el contrato matriz,,no,,,no,,ordering_period_end_date
solicitation_date,DATE,Data de publicação do edital,Date the solicitation was issued,Fecha de publicación de la convocatoria,,no,,,no,,solicitation_date
awarding_agency_code,STRING,Código CGAC da agência que concedeu o auxílio ou contrato,CGAC code of the agency that made the award,Código CGAC de la agencia que concedió la ayuda o contrato,,no,,,no,,awarding_agency_code
awarding_agency_name,STRING,Nome da agência que concedeu o auxílio ou contrato,Name of the agency that made the award,Nombre de la agencia que concedió la ayuda o contrato,,no,,,no,,awarding_agency_name
awarding_sub_agency_code,STRING,Código da subagência que concedeu o auxílio ou contrato,Code of the sub-agency that made the award,Código de la subagencia que concedió la ayuda o contrato,,no,,,no,,awarding_sub_agency_code
awarding_sub_agency_name,STRING,Nome da subagência que concedeu o auxílio ou contrato,Name of the sub-agency that made the award,Nombre de la subagencia que concedió la ayuda o contrato,,no,,,no,,awarding_sub_agency_name
awarding_office_code,STRING,Código do escritório que concedeu o auxílio ou contrato,Code of the office that made the award,Código de la oficina que concedió la ayuda o contrato,,no,,,no,,awarding_office_code
awarding_office_name,STRING,Nome do escritório que concedeu o auxílio ou contrato,Name of the office that made the award,Nombre de la oficina que concedió la ayuda o contrato,,no,,,no,,awarding_office_name
funding_agency_code,STRING,Código CGAC da agência que forneceu os recursos,CGAC code of the agency that provided the funds,Código CGAC de la agencia que aportó los recursos,,no,,,no,,funding_agency_code
funding_agency_name,STRING,Nome da agência que forneceu os recursos,Name of the agency that provided the funds,Nombre de la agencia que aportó los recursos,,no,,,no,,funding_agency_name
funding_sub_agency_code,STRING,Código da subagência que forneceu os recursos,Code of the sub-agency that provided the funds,Código de la subagencia que aportó los recursos,,no,,,no,,funding_sub_agency_code
funding_sub_agency_name,STRING,Nome da subagência que forneceu os recursos,Name of the sub-agency that provided the funds,Nombre de la subagencia que aportó los recursos,,no,,,no,,funding_sub_agency_name
funding_office_code,STRING,Código do escritório que forneceu os recursos,Code of the office that provided the funds,Código de la oficina que aportó los recursos,,no,,,no,,funding_office_code
funding_office_name,STRING,Nome do escritório que forneceu os recursos,Name of the office that provided the funds,Nombre de la oficina que aportó los recursos,,no,,,no,,funding_office_name
treasury_accounts_funding_this_award,STRING,"Contas do Tesouro (TAS) que financiam o auxílio ou contrato, separadas por ponto e vírgula","Treasury accounts (TAS) funding the award, semicolon separated","Cuentas del Tesoro (TAS) que financian la ayuda o contrato, separadas por punto y coma",,no,,,no,,treasury_accounts_funding_this_award
federal_accounts_funding_this_award,STRING,"Contas federais que financiam o auxílio ou contrato, separadas por ponto e vírgula","Federal accounts funding the award, semicolon separated","Cuentas federales que financian la ayuda o contrato, separadas por punto y coma",,no,,,no,,federal_accounts_funding_this_award
object_classes_funding_this_award,STRING,"Classes de objeto de despesa que financiam o auxílio ou contrato, separadas por ponto e vírgula","Object classes funding the award, semicolon separated","Clases de objeto de gasto que financian la ayuda o contrato, separadas por punto y coma",,no,,,no,,object_classes_funding_this_award
program_activities_funding_this_award,STRING,"Atividades programáticas que financiam o auxílio ou contrato, separadas por ponto e vírgula","Program activities funding the award, semicolon separated","Actividades programáticas que financian la ayuda o contrato, separadas por punto y coma",,no,,,no,,program_activities_funding_this_award
foreign_funding,STRING,Código de uso de recursos de origem estrangeira no contrato,Code for use of foreign funding in the contract,Código de uso de recursos de origen extranjero en el contrato,,yes,,,no,,foreign_funding
foreign_funding_description,STRING,Descrição de uso de recursos de origem estrangeira no contrato,Description of use of foreign funding in the contract,Descripción de uso de recursos de origen extranjero en el contrato,,no,,,no,,foreign_funding_description
sam_exception,STRING,Código de exceção que dispensa o fornecedor de registro no SAM,Code for exception releasing the vendor from SAM registration,Código de excepción que exime al proveedor del registro en SAM,,yes,,,no,,sam_exception
sam_exception_description,STRING,Descrição de exceção que dispensa o fornecedor de registro no SAM,Description of exception releasing the vendor from SAM registration,Descripción de excepción que exime al proveedor del registro en SAM,,no,,,no,,sam_exception_description
recipient_uei,STRING,Identificador único de entidade (UEI) do beneficiário,Unique entity identifier (UEI) of the recipient,Identificador único de entidad (UEI) del beneficiario,,no,,,no,,recipient_uei
recipient_duns,STRING,"Número DUNS do beneficiário, identificador usado antes da adoção do UEI","DUNS number of the recipient, the identifier used before UEI adoption","Número DUNS del beneficiario, identificador usado antes de la adopción del UEI",,no,,,no,"Descontinuado em abril de 2022, quando o UEI passou a ser o identificador oficial",recipient_duns
recipient_name,STRING,"Nome do beneficiário, padronizado a partir do registro no SAM","Name of the recipient, standardized from its SAM registration","Nombre del beneficiario, estandarizado a partir de su registro en SAM",,no,,,no,,recipient_name
recipient_name_raw,STRING,Nome do beneficiário exatamente como informado pela agência,Name of the recipient exactly as reported by the agency,Nombre del beneficiario exactamente como fue informado por la agencia,,no,,,no,,recipient_name_raw
recipient_doing_business_as_name,STRING,Nome fantasia do beneficiário,Doing-business-as name of the recipient,Nombre comercial del beneficiario,,no,,,no,,recipient_doing_business_as_name
cage_code,STRING,"Código CAGE do beneficiário, atribuído pelo Departamento de Defesa","CAGE code of the recipient, assigned by the Department of Defense","Código CAGE del beneficiario, asignado por el Departamento de Defensa",,no,,,no,,cage_code
recipient_parent_uei,STRING,Identificador único de entidade (UEI) da controladora do beneficiário,Unique entity identifier (UEI) of the recipient's parent entity,Identificador único de entidad (UEI) de la controladora del beneficiario,,no,,,no,,recipient_parent_uei
recipient_parent_duns,STRING,Número DUNS da controladora do beneficiário,DUNS number of the recipient's parent entity,Número DUNS de la controladora del beneficiario,,no,,,no,"Descontinuado em abril de 2022, quando o UEI passou a ser o identificador oficial",recipient_parent_duns
recipient_parent_name,STRING,"Nome da controladora do beneficiário, padronizado a partir do registro no SAM","Name of the recipient's parent entity, standardized from its SAM registration","Nombre de la controladora del beneficiario, estandarizado a partir de su registro en SAM",,no,,,no,,recipient_parent_name
recipient_parent_name_raw,STRING,Nome da controladora do beneficiário exatamente como informado pela agência,Name of the recipient's parent entity exactly as reported by the agency,Nombre de la controladora del beneficiario exactamente como fue informado por la agencia,,no,,,no,,recipient_parent_name_raw
recipient_country_code,STRING,Código do país do endereço do beneficiário,Country code of the recipient address,Código del país de la dirección del beneficiario,,no,,,no,,recipient_country_code
recipient_country_name,STRING,Nome do país do endereço do beneficiário,Country name of the recipient address,Nombre del país de la dirección del beneficiario,,no,,,no,,recipient_country_name
recipient_address_line_1,STRING,Primeira linha do endereço do beneficiário,First line of the recipient address,Primera línea de la dirección del beneficiario,,no,,,no,,recipient_address_line_1
recipient_address_line_2,STRING,Segunda linha do endereço do beneficiário,Second line of the recipient address,Segunda línea de la dirección del beneficiario,,no,,,no,,recipient_address_line_2
recipient_city_name,STRING,Nome da cidade do beneficiário,Name of the recipient city,Nombre de la ciudad del beneficiario,,no,,,no,,recipient_city_name
prime_award_transaction_recipient_county_fips_code,STRING,Código FIPS de cinco dígitos do condado do beneficiário,Five-digit FIPS code of the recipient county,Código FIPS de cinco dígitos del condado del beneficiario,,no,br_bd_diretorios_us.county:id_county,,no,"A fonte emite parte dos valores corrompidos por conversão numérica — o código do condado perde o zero à esquerda e ganha o sufixo '.0' (Franklin/OH, 39049, chega como '3949.0') —, corrigidos no modelo dbt. Registros agregados por estado usam o sentinela '<estado>000', que não é um condado. Códigos aposentados (Connecticut antes de 2022, Dade antes de Miami-Dade, Ormsby/NV) não resolvem contra o diretório de vintage corrente, por isso a coluna não tem teste de integridade referencial",prime_award_transaction_recipient_county_fips_code
recipient_county_name,STRING,Nome do condado do beneficiário,Name of the recipient county,Nombre del condado del beneficiario,,no,,,no,,recipient_county_name
prime_award_transaction_recipient_state_fips_code,STRING,Código FIPS de dois dígitos do estado do beneficiário,Two-digit FIPS code of the recipient state,Código FIPS de dos dígitos del estado del beneficiario,,no,br_bd_diretorios_us.state:id_state,,no,,prime_award_transaction_recipient_state_fips_code
recipient_state_code,STRING,Sigla de duas letras do estado do beneficiário,Two-letter abbreviation of the recipient state,Sigla de dos letras del estado del beneficiario,,no,,,no,Sigla postal; a ligação ao diretório é feita pela coluna de código FIPS,recipient_state_code
recipient_state_name,STRING,Nome do estado do beneficiário,Name of the recipient state,Nombre del estado del beneficiario,,no,,,no,,recipient_state_name
recipient_zip_4_code,STRING,"CEP do beneficiário no formato ZIP+4, de nove dígitos","Recipient ZIP+4 code, nine digits","Código postal del beneficiario en formato ZIP+4, de nueve dígitos",,no,,,no,,recipient_zip_4_code
prime_award_transaction_recipient_cd_original,STRING,Distrito eleitoral do beneficiário na delimitação vigente na data da ação,Congressional district of the recipient under the districting in force on the action date,Distrito electoral del beneficiario según la delimitación vigente en la fecha de la acción,,no,,,no,,prime_award_transaction_recipient_cd_original
prime_award_transaction_recipient_cd_current,STRING,Distrito eleitoral do beneficiário na delimitação vigente atualmente,Congressional district of the recipient under the current districting,Distrito electoral del beneficiario según la delimitación vigente actualmente,,no,,,no,,prime_award_transaction_recipient_cd_current
recipient_phone_number,STRING,Telefone do beneficiário,Telephone number of the recipient,Teléfono del beneficiario,,no,,,no,,recipient_phone_number
recipient_fax_number,STRING,Fax do beneficiário,Fax number of the recipient,Fax del beneficiario,,no,,,no,,recipient_fax_number
primary_place_of_performance_country_code,STRING,Código do país onde a execução ocorre,Country code of the primary place of performance,Código del país donde ocurre la ejecución,,no,,,no,,primary_place_of_performance_country_code
primary_place_of_performance_country_name,STRING,Nome do país onde a execução ocorre,Country name of the primary place of performance,Nombre del país donde ocurre la ejecución,,no,,,no,,primary_place_of_performance_country_name
primary_place_of_performance_city_name,STRING,Nome da cidade onde a execução ocorre,City name of the primary place of performance,Nombre de la ciudad donde ocurre la ejecución,,no,,,no,,primary_place_of_performance_city_name
prime_award_transaction_place_of_performance_county_fips_code,STRING,Código FIPS de cinco dígitos do condado onde a execução ocorre,Five-digit FIPS code of the county of the primary place of performance,Código FIPS de cinco dígitos del condado donde ocurre la ejecución,,no,br_bd_diretorios_us.county:id_county,,no,"A fonte emite parte dos valores corrompidos por conversão numérica — o código do condado perde o zero à esquerda e ganha o sufixo '.0' (Franklin/OH, 39049, chega como '3949.0') —, corrigidos no modelo dbt. Registros agregados por estado usam o sentinela '<estado>000', que não é um condado. Códigos aposentados (Connecticut antes de 2022, Dade antes de Miami-Dade, Ormsby/NV) não resolvem contra o diretório de vintage corrente, por isso a coluna não tem teste de integridade referencial",prime_award_transaction_place_of_performance_county_fips_code
primary_place_of_performance_county_name,STRING,Nome do condado onde a execução ocorre,County name of the primary place of performance,Nombre del condado donde ocurre la ejecución,,no,,,no,,primary_place_of_performance_county_name
prime_award_transaction_place_of_performance_state_fips_code,STRING,Código FIPS de dois dígitos do estado onde a execução ocorre,Two-digit FIPS code of the state of the primary place of performance,Código FIPS de dos dígitos del estado donde ocurre la ejecución,,no,br_bd_diretorios_us.state:id_state,,no,,prime_award_transaction_place_of_performance_state_fips_code
primary_place_of_performance_state_code,STRING,Sigla de duas letras do estado onde a execução ocorre,Two-letter abbreviation of the state of the primary place of performance,Sigla de dos letras del estado donde ocurre la ejecución,,no,,,no,Sigla postal; a ligação ao diretório é feita pela coluna de código FIPS,primary_place_of_performance_state_code
primary_place_of_performance_state_name,STRING,Nome do estado onde a execução ocorre,State name of the primary place of performance,Nombre del estado donde ocurre la ejecución,,no,,,no,,primary_place_of_performance_state_name
primary_place_of_performance_zip_4,STRING,CEP do local de execução no formato ZIP+4,ZIP+4 code of the primary place of performance,Código postal del lugar de ejecución en formato ZIP+4,,no,,,no,,primary_place_of_performance_zip_4
prime_award_transaction_place_of_performance_cd_original,STRING,Distrito eleitoral do local de execução na delimitação vigente na data da ação,Congressional district of the place of performance under the districting in force on the action date,Distrito electoral del lugar de ejecución según la delimitación vigente en la fecha de la acción,,no,,,no,,prime_award_transaction_place_of_performance_cd_original
prime_award_transaction_place_of_performance_cd_current,STRING,Distrito eleitoral do local de execução na delimitação vigente atualmente,Congressional district of the place of performance under the current districting,Distrito electoral del lugar de ejecución según la delimitación vigente actualmente,,no,,,no,,prime_award_transaction_place_of_performance_cd_current
award_or_idv_flag,STRING,Indica se o registro é um contrato ou um veículo de entrega indefinida (IDV),Indicates whether the record is an award or an indefinite delivery vehicle (IDV),Indica si el registro es un contrato o un vehículo de entrega indefinida (IDV),,yes,,,no,,award_or_idv_flag
award_type_code,STRING,Código de tipo de contrato firmado,Code for type of contract awarded,Código de tipo de contrato firmado,,yes,,,no,,award_type_code
award_type,STRING,Descrição de tipo de contrato firmado,Description of type of contract awarded,Descripción de tipo de contrato firmado,,no,,,no,,award_type
idv_type_code,STRING,Código de tipo de veículo de entrega indefinida (IDV),Code for type of indefinite delivery vehicle (IDV),Código de tipo de vehículo de entrega indefinida (IDV),,yes,,,no,,idv_type_code
idv_type,STRING,Descrição de tipo de veículo de entrega indefinida (IDV),Description of type of indefinite delivery vehicle (IDV),Descripción de tipo de vehículo de entrega indefinida (IDV),,no,,,no,,idv_type
multiple_or_single_award_idv_code,STRING,Código de indicação de que o IDV admite um ou múltiplos contratados,Code for whether the IDV allows a single or multiple awardees,Código de indicación de si el IDV admite uno o varios contratistas,,yes,,,no,,multiple_or_single_award_idv_code
multiple_or_single_award_idv,STRING,Descrição de indicação de que o IDV admite um ou múltiplos contratados,Description of whether the IDV allows a single or multiple awardees,Descripción de indicación de si el IDV admite uno o varios contratistas,,no,,,no,,multiple_or_single_award_idv
type_of_idc_code,STRING,Código de tipo de contrato de entrega indefinida (IDC),Code for type of indefinite delivery contract (IDC),Código de tipo de contrato de entrega indefinida (IDC),,yes,,,no,,type_of_idc_code
type_of_idc,STRING,Descrição de tipo de contrato de entrega indefinida (IDC),Description of type of indefinite delivery contract (IDC),Descripción de tipo de contrato de entrega indefinida (IDC),,no,,,no,,type_of_idc
type_of_contract_pricing_code,STRING,Código de regime de preços do contrato,Code for contract pricing arrangement,Código de régimen de precios del contrato,,yes,,,no,,type_of_contract_pricing_code
type_of_contract_pricing,STRING,Descrição de regime de preços do contrato,Description of contract pricing arrangement,Descripción de régimen de precios del contrato,,no,,,no,,type_of_contract_pricing
transaction_description,STRING,Descrição do objeto desta transação,Description of the purpose of this transaction,Descripción del objeto de esta transacción,,no,,,no,,transaction_description
prime_award_base_transaction_description,STRING,Descrição do objeto da transação inicial do auxílio ou contrato,Description of the purpose of the award's base transaction,Descripción del objeto de la transacción inicial de la ayuda o contrato,,no,,,no,,prime_award_base_transaction_description
action_type_code,STRING,Código de tipo de ação registrada na transação,Code for type of action recorded by the transaction,Código de tipo de acción registrada en la transacción,,yes,,,no,,action_type_code
action_type,STRING,Descrição de tipo de ação registrada na transação,Description of type of action recorded by the transaction,Descripción de tipo de acción registrada en la transacción,,no,,,no,,action_type
solicitation_identifier,STRING,Identificador do edital que originou a contratação,Identifier of the solicitation that originated the award,Identificador de la convocatoria que originó la contratación,,no,,,no,,solicitation_identifier
number_of_actions,INT64,Número de ações agrupadas neste registro,Number of actions grouped in this record,Número de acciones agrupadas en este registro,,no,,action,no,,number_of_actions
inherently_governmental_functions,STRING,Código de classificação do serviço quanto a funções inerentemente governamentais,Code for classification of the service with respect to inherently governmental functions,Código de clasificación del servicio respecto a funciones inherentemente gubernamentales,,yes,,,no,,inherently_governmental_functions
inherently_governmental_functions_description,STRING,Descrição de classificação do serviço quanto a funções inerentemente governamentais,Description of classification of the service with respect to inherently governmental functions,Descripción de clasificación del servicio respecto a funciones inherentemente gubernamentales,,no,,,no,,inherently_governmental_functions_description
product_or_service_code,STRING,"Código de produto ou serviço adquirido, segundo o PSC Manual","Code for product or service purchased, per the PSC Manual","Código de producto o servicio adquirido, según el PSC Manual",,no,,,no,,product_or_service_code
product_or_service_code_description,STRING,"Descrição de produto ou serviço adquirido, segundo o PSC Manual","Description of product or service purchased, per the PSC Manual","Descripción de producto o servicio adquirido, según el PSC Manual",,no,,,no,,product_or_service_code_description
contract_bundling_code,STRING,Código de agrupamento (bundling) de requisitos no contrato,Code for bundling of requirements in the contract,Código de agrupamiento (bundling) de requisitos en el contrato,,yes,,,no,,contract_bundling_code
contract_bundling,STRING,Descrição de agrupamento (bundling) de requisitos no contrato,Description of bundling of requirements in the contract,Descripción de agrupamiento (bundling) de requisitos en el contrato,,no,,,no,,contract_bundling
dod_claimant_program_code,STRING,Código de programa reivindicante do Departamento de Defesa,Code for Department of Defense claimant program,Código de programa reclamante del Departamento de Defensa,,no,,,no,,dod_claimant_program_code
dod_claimant_program_description,STRING,Descrição de programa reivindicante do Departamento de Defesa,Description of Department of Defense claimant program,Descripción de programa reclamante del Departamento de Defensa,,no,,,no,,dod_claimant_program_description
naics_code,STRING,Código de atividade econômica do contratado na classificação NAICS,Code for economic activity of the contractor under the NAICS classification,Código de actividad económica del contratista en la clasificación NAICS,,no,,,no,"A vintage do NAICS acompanha a data da ação e varia ao longo da série, de modo que não existe um único diretório de vintage ao qual a coluna possa ser ligada",naics_code
naics_description,STRING,Descrição de atividade econômica do contratado na classificação NAICS,Description of economic activity of the contractor under the NAICS classification,Descripción de actividad económica del contratista en la clasificación NAICS,,no,,,no,,naics_description
recovered_materials_sustainability_code,STRING,Código de cláusulas de materiais recuperados e sustentabilidade aplicadas,Code for recovered materials and sustainability clauses applied,Código de cláusulas de materiales recuperados y sostenibilidad aplicadas,,yes,,,no,,recovered_materials_sustainability_code
recovered_materials_sustainability,STRING,Descrição de cláusulas de materiais recuperados e sustentabilidade aplicadas,Description of recovered materials and sustainability clauses applied,Descripción de cláusulas de materiales recuperados y sostenibilidad aplicadas,,no,,,no,,recovered_materials_sustainability
domestic_or_foreign_entity_code,STRING,Código de natureza doméstica ou estrangeira do contratado,Code for domestic or foreign status of the contractor,Código de naturaleza nacional o extranjera del contratista,,yes,,,no,,domestic_or_foreign_entity_code
domestic_or_foreign_entity,STRING,Descrição de natureza doméstica ou estrangeira do contratado,Description of domestic or foreign status of the contractor,Descripción de naturaleza nacional o extranjera del contratista,,no,,,no,,domestic_or_foreign_entity
dod_acquisition_program_code,STRING,Código de programa de aquisição do Departamento de Defesa,Code for Department of Defense acquisition program,Código de programa de adquisición del Departamento de Defensa,,no,,,no,,dod_acquisition_program_code
dod_acquisition_program_description,STRING,Descrição de programa de aquisição do Departamento de Defesa,Description of Department of Defense acquisition program,Descripción de programa de adquisición del Departamento de Defensa,,no,,,no,,dod_acquisition_program_description
information_technology_commercial_item_category_code,STRING,Código de categoria comercial do item de tecnologia da informação adquirido,Code for commercial category of the information technology item purchased,Código de categoría comercial del artículo de tecnología de la información adquirido,,yes,,,no,,information_technology_commercial_item_category_code
information_technology_commercial_item_category,STRING,Descrição de categoria comercial do item de tecnologia da informação adquirido,Description of commercial category of the information technology item purchased,Descripción de categoría comercial del artículo de tecnología de la información adquirido,,no,,,no,,information_technology_commercial_item_category
epa_designated_product_code,STRING,Código de atendimento aos requisitos de produtos designados pela EPA,Code for compliance with EPA designated product requirements,Código de cumplimiento de los requisitos de productos designados por la EPA,,yes,,,no,,epa_designated_product_code
epa_designated_product,STRING,Descrição de atendimento aos requisitos de produtos designados pela EPA,Description of compliance with EPA designated product requirements,Descripción de cumplimiento de los requisitos de productos designados por la EPA,,no,,,no,,epa_designated_product
country_of_product_or_service_origin_code,STRING,Código de país de origem do produto ou serviço adquirido,Code for country of origin of the product or service purchased,Código de país de origen del producto o servicio adquirido,,no,,,no,,country_of_product_or_service_origin_code
country_of_product_or_service_origin,STRING,Descrição de país de origem do produto ou serviço adquirido,Description of country of origin of the product or service purchased,Descripción de país de origen del producto o servicio adquirido,,no,,,no,,country_of_product_or_service_origin
place_of_manufacture_code,STRING,Código de local de fabricação do produto ou de prestação do serviço,Code for place where the product was manufactured or the service performed,Código de lugar de fabricación del producto o de prestación del servicio,,yes,,,no,,place_of_manufacture_code
place_of_manufacture,STRING,Descrição de local de fabricação do produto ou de prestação do serviço,Description of place where the product was manufactured or the service performed,Descripción de lugar de fabricación del producto o de prestación del servicio,,no,,,no,,place_of_manufacture
subcontracting_plan_code,STRING,Código de exigência de plano de subcontratação,Code for subcontracting plan requirement,Código de exigencia de plan de subcontratación,,yes,,,no,,subcontracting_plan_code
subcontracting_plan,STRING,Descrição de exigência de plano de subcontratação,Description of subcontracting plan requirement,Descripción de exigencia de plan de subcontratación,,no,,,no,,subcontracting_plan
extent_competed_code,STRING,Código de grau de competição na contratação,Code for extent to which the award was competed,Código de grado de competencia en la contratación,,yes,,,no,,extent_competed_code
extent_competed,STRING,Descrição de grau de competição na contratação,Description of extent to which the award was competed,Descripción de grado de competencia en la contratación,,no,,,no,,extent_competed
solicitation_procedures_code,STRING,Código de procedimento de solicitação de propostas utilizado,Code for solicitation procedure used,Código de procedimiento de solicitud de propuestas utilizado,,yes,,,no,,solicitation_procedures_code
solicitation_procedures,STRING,Descrição de procedimento de solicitação de propostas utilizado,Description of solicitation procedure used,Descripción de procedimiento de solicitud de propuestas utilizado,,no,,,no,,solicitation_procedures
type_of_set_aside_code,STRING,Código de tipo de reserva de mercado (set-aside) aplicada,Code for type of set-aside applied,Código de tipo de reserva de mercado (set-aside) aplicada,,yes,,,no,,type_of_set_aside_code
