id_tabela,nome_coluna,chave,cobertura_temporal,valor,valor_en,valor_es
release,release_category,6.2_UNCLASSIFIED,,Transferências fora do local não classificadas (código M91 transferência a intermediário e transferências sem código específico),Unclassified off-site transfers (code M91 transfers to waste broker and transfers without a specific code),Transferencias fuera del sitio no clasificadas (código M91 transferencia a intermediario y transferencias sin código específico)
release,management_category,on_site_release,,"Liberação no local para ar, água e solo (seção 5 do Form R)","On-site release to air, water and land (Form R section 5)","Liberación en el sitio al aire, agua y suelo (sección 5 del Form R)"
release,management_category,off_site_release,,"Transferência fora do local para liberação ou disposição, incluindo a parcela de POTW considerada liberada","Off-site transfer for release or disposal, including the POTW share counted as released","Transferencia fuera del sitio para liberación o disposición, incluida la parte de POTW considerada liberada"
release,management_category,off_site_recycling,,Transferência fora do local para reciclagem,Off-site transfer for recycling,Transferencia fuera del sitio para reciclaje
release,management_category,off_site_energy_recovery,,Transferência fora do local para recuperação de energia,Off-site transfer for energy recovery,Transferencia fuera del sitio para recuperación de energía
release,management_category,off_site_treatment,,"Transferência fora do local para tratamento, incluindo a parcela de POTW considerada tratada","Off-site transfer for treatment, including the POTW share counted as treated","Transferencia fuera del sitio para tratamiento, incluida la parte de POTW considerada tratada"
release,management_category,off_site_unclassified,,Transferência fora do local sem código de gestão específico,Off-site transfer without a specific management code,Transferencia fuera del sitio sin código de gestión específico
form,form_type,R,,"Form R, relatório completo de liberações e demais gestões de resíduo","Form R, full report of releases and other waste management","Form R, informe completo de liberaciones y demás gestión de residuos"
form,form_type,A,,"Form A, declaração de certificação, sem quantidades informadas","Form A certification statement, no quantities reported","Form A, declaración de certificación, sin cantidades informadas"
chemical,classification,TRI,,Substância geral da seção 313 do EPCRA,General EPCRA section 313 chemical,Sustancia general de la sección 313 del EPCRA
chemical,classification,PBT,,"Substância persistente, bioacumulativa e tóxica","Persistent, bioaccumulative and toxic chemical","Sustancia persistente, bioacumulativa y tóxica"
chemical,classification,Dioxin,,Dioxina ou composto similar (informado em gramas),Dioxin or dioxin-like compound (reported in grams),Dioxina o compuesto similar (informado en gramos)
