sic,office,industry_title
2050,Office of Manufacturing,BAKERY PRODUCTS
2052,Office of Manufacturing,COOKIES & CRACKERS
2060,Office of Manufacturing,SUGAR & CONFECTIONERY PRODUCTS
2070,Office of Manufacturing,FATS & OILS
2080,Office of Manufacturing,BEVERAGES
2082,Office of Manufacturing,MALT BEVERAGES
2086,Office of Manufacturing,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
2090,Office of Manufacturing,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
2092,Office of Manufacturing,PREPARED FRESH OR FROZEN FISH & SEAFOODS
2100,Office of Manufacturing,TOBACCO PRODUCTS
2111,Office of Manufacturing,CIGARETTES
2200,Office of Manufacturing,TEXTILE MILL PRODUCTS
2211,Office of Manufacturing,"BROADWOVEN FABRIC MILLS, COTTON"
2221,Office of Manufacturing,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK"
2250,Office of Manufacturing,KNITTING MILLS
2253,Office of Manufacturing,KNIT OUTERWEAR MILLS
2273,Office of Manufacturing,CARPETS & RUGS
2300,Office of Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
2320,Office of Manufacturing,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
2330,Office of Manufacturing,"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR"
2340,Office of Manufacturing,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS"
2390,Office of Manufacturing,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS
2400,Office of Manufacturing,LUMBER & WOOD PRODUCTS (NO FURNITURE)
2421,Office of Manufacturing,"SAWMILLS & PLANTING MILLS, GENERAL"
2430,Office of Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS"
2451,Office of Manufacturing,MOBILE HOMES
2452,Office of Manufacturing,PREFABRICATED WOOD BLDGS & COMPONENTS
2510,Office of Manufacturing,HOUSEHOLD FURNITURE
2511,Office of Manufacturing,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
2520,Office of Manufacturing,OFFICE FURNITURE
2522,Office of Manufacturing,OFFICE FURNITURE (NO WOOD)
2531,Office of Manufacturing,PUBLIC BLDG & RELATED FURNITURE
2540,Office of Manufacturing,"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES"
2590,Office of Manufacturing,MISCELLANEOUS FURNITURE & FIXTURES
2600,Office of Manufacturing,PAPERS & ALLIED PRODUCTS
2611,Office of Manufacturing,PULP MILLS
2621,Office of Manufacturing,PAPER MILLS
2631,Office of Manufacturing,PAPERBOARD MILLS
2650,Office of Manufacturing,PAPERBOARD CONTAINERS & BOXES
2670,Office of Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
2673,Office of Manufacturing,"PLASTICS, FOIL & COATED PAPER BAGS"
2711,Office of Manufacturing,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
2721,Office of Manufacturing,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING
2731,Office of Manufacturing,BOOKS: PUBLISHING OR PUBLISHING & PRINTING
2732,Office of Manufacturing,BOOK PRINTING
2741,Office of Manufacturing,MISCELLANEOUS PUBLISHING
2750,Office of Manufacturing,COMMERCIAL PRINTING
2761,Office of Manufacturing,MANIFOLD BUSINESS FORMS
2771,Office of Manufacturing,GREETING CARDS
2780,Office of Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK"
2790,Office of Manufacturing,SERVICE INDUSTRIES FOR THE PRINTING TRADE
2800,Industrial Applications and Services,CHEMICALS & ALLIED PRODUCTS
2810,Industrial Applications and Services,INDUSTRIAL INORGANIC CHEMICALS
2820,Industrial Applications and Services,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
2833,Office of Life Sciences,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS
2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS
2835,Office of Life Sciences,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
2840,Industrial Applications and Services,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
2842,Industrial Applications and Services,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
2844,Industrial Applications and Services,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
2851,Industrial Applications and Services,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS
2870,Industrial Applications and Services,AGRICULTURAL CHEMICALS
2890,Industrial Applications and Services,MISCELLANEOUS CHEMICAL PRODUCTS
2891,Industrial Applications and Services,ADHESIVES & SEALANTS
2911,Office of Energy & Transportation,PETROLEUM REFINING
2950,Office of Energy & Transportation,ASPHALT PAVING & ROOFING MATERIALS
2990,Office of Energy & Transportation,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL
3011,Office of Manufacturing,TIRES & INNER TUBES
3021,Office of Manufacturing,RUBBER & PLASTICS FOOTWEAR
3050,Office of Manufacturing,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE"
3060,Office of Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC"
3080,Industrial Applications and Services,MISCELLANEOUS PLASTICS PRODUCTS
3081,Industrial Applications and Services,UNSUPPORTED PLASTICS FILM & SHEET
3086,Industrial Applications and Services,PLASTICS FOAM PRODUCTS
3089,Industrial Applications and Services,"PLASTICS PRODUCTS, NEC"
3100,Office of Manufacturing,LEATHER & LEATHER PRODUCTS
3140,Office of Manufacturing,"FOOTWEAR, (NO RUBBER)"
3211,Office of Manufacturing,FLAT GLASS
3220,Office of Manufacturing,"GLASS & GLASSWARE, PRESSED OR BLOWN"
3221,Office of Manufacturing,GLASS CONTAINERS
3231,Office of Manufacturing,"GLASS PRODUCTS, MADE OF PURCHASED GLASS"
3241,Office of Manufacturing,"CEMENT, HYDRAULIC"
3250,Office of Manufacturing,STRUCTURAL CLAY PRODUCTS
3260,Office of Manufacturing,POTTERY & RELATED PRODUCTS
3270,Office of Manufacturing,"CONCRETE, GYPSUM & PLASTER PRODUCTS"
3272,Office of Manufacturing,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK"
3281,Office of Manufacturing,CUT STONE & STONE PRODUCTS
3290,Office of Manufacturing,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS"
3310,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS"
3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
3317,Office of Manufacturing,STEEL PIPE & TUBES
3320,Office of Manufacturing,IRON & STEEL FOUNDRIES
3330,Office of Manufacturing,PRIMARY SMELTING & REFINING OF NONFERROUS METALS
3334,Office of Manufacturing,PRIMARY PRODUCTION OF ALUMINUM
3341,Office of Manufacturing,SECONDARY SMELTING & REFINING OF NONFERROUS METALS
3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
3357,Office of Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
3360,Office of Manufacturing,NONFERROUS FOUNDRIES (CASTINGS)
3390,Office of Manufacturing,MISCELLANEOUS PRIMARY METAL PRODUCTS
3411,Office of Manufacturing,METAL CANS
3412,Office of Manufacturing,"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS"
3420,Office of Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
3430,Office of Manufacturing,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES"
3433,Office of Manufacturing,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES"
3440,Office of Manufacturing,FABRICATED STRUCTURAL METAL PRODUCTS
3442,Office of Manufacturing,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM"
3443,Office of Manufacturing,FABRICATED PLATE WORK (BOILER SHOPS)
3444,Office of Manufacturing,SHEET METAL WORK
3448,Office of Manufacturing,PREFABRICATED METAL BUILDINGS & COMPONENTS
3451,Office of Manufacturing,SCREW MACHINE PRODUCTS
3452,Office of Manufacturing,"BOLTS, NUTS, SCREWS, RIVETS & WASHERS"
3460,Office of Manufacturing,METAL FORGINGS & STAMPINGS
3470,Office of Manufacturing,"COATING, ENGRAVING & ALLIED SERVICES"
3480,Office of Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
3490,Office of Manufacturing,MISCELLANEOUS FABRICATED METAL PRODUCTS
3510,Office of Technology,ENGINES & TURBINES
3523,Office of Technology,FARM MACHINERY & EQUIPMENT
3524,Office of Technology,LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP
3530,Office of Technology,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP"
3531,Office of Technology,CONSTRUCTION MACHINERY & EQUIP
3532,Office of Technology,MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP)
3533,Office of Energy & Transportation,OIL & GAS FIELD MACHINERY & EQUIPMENT
3537,Office of Technology,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS"
3540,Office of Technology,METALWORKG MACHINERY & EQUIPMENT
3541,Office of Technology,"MACHINE TOOLS, METAL CUTTING TYPES"
3550,Office of Technology,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
3555,Office of Technology,PRINTING TRADES MACHINERY & EQUIPMENT
3559,Office of Technology,"SPECIAL INDUSTRY MACHINERY, NEC"
3560,Office of Technology,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
3561,Office of Technology,PUMPS & PUMPING EQUIPMENT
3562,Office of Technology,BALL & ROLLER BEARINGS
3564,Office of Technology,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
3567,Office of Technology,INDUSTRIAL PROCESS FURNACES & OVENS
3569,Office of Technology,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC"
3570,Office of Technology,COMPUTER & OFFICE EQUIPMENT
3571,Office of Technology,ELECTRONIC COMPUTERS
3572,Office of Technology,COMPUTER STORAGE DEVICES
3575,Office of Technology,COMPUTER TERMINALS
3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT
3577,Office of Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
3578,Office of Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS)
3579,Office of Technology,"OFFICE MACHINES, NEC"
3580,Office of Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY
3585,Office of Technology,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP
3590,Office of Technology,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
3600,Office of Manufacturing,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
3612,Office of Manufacturing,"POWER, DISTRIBUTION & SPECIALTY TRANSFORMERS"
3613,Office of Manufacturing,SWITCHGEAR & SWITCHBOARD APPARATUS
3620,Office of Manufacturing,ELECTRICAL INDUSTRIAL APPARATUS
3621,Office of Manufacturing,MOTORS & GENERATORS
3630,Office of Manufacturing,HOUSEHOLD APPLIANCES
3634,Office of Manufacturing,ELECTRIC HOUSEWARES & FANS
3640,Office of Manufacturing,ELECTRIC LIGHTING & WIRING EQUIPMENT
3651,Office of Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT
3652,Office of Manufacturing,PHONOGRAPH RECORDS & PRERECORDED AUDIO TAPES & DISKS
3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
3663,Office of Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
3669,Office of Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
3670,Office of Manufacturing,ELECTRONIC COMPONENTS & ACCESSORIES
3672,Office of Manufacturing,PRINTED CIRCUIT BOARDS
3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES
3677,Office of Manufacturing,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS"
3678,Office of Manufacturing,ELECTRONIC CONNECTORS
3679,Office of Manufacturing,"ELECTRONIC COMPONENTS, NEC"
3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"
3695,Office of Manufacturing,MAGNETIC & OPTICAL RECORDING MEDIA
3711,Office of Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
3713,Office of Manufacturing,TRUCK & BUS BODIES
3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES
3715,Office of Manufacturing,TRUCK TRAILERS
3716,Office of Manufacturing,MOTOR HOMES
3720,Office of Manufacturing,AIRCRAFT & PARTS
3721,Office of Manufacturing,AIRCRAFT
3724,Office of Manufacturing,AIRCRAFT ENGINES & ENGINE PARTS
3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
3730,Office of Manufacturing,SHIP & BOAT BUILDING & REPAIRING
3743,Office of Manufacturing,RAILROAD EQUIPMENT
3751,Office of Manufacturing,"MOTORCYCLES, BICYCLES & PARTS"
3760,Office of Manufacturing,GUIDED MISSILES & SPACE VEHICLES & PARTS
3790,Office of Manufacturing,MISCELLANEOUS TRANSPORTATION EQUIPMENT
3812,Office of Manufacturing,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
3821,Industrial Applications and Services,LABORATORY APPARATUS & FURNITURE
3822,Industrial Applications and Services,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS
3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
3824,Industrial Applications and Services,TOTALIZING FLUID METERS & COUNTING DEVICES
3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS
3827,Industrial Applications and Services,OPTICAL INSTRUMENTS & LENSES
3829,Industrial Applications and Services,"MEASURING & CONTROLLING DEVICES, NEC"
3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
3843,Industrial Applications and Services,DENTAL EQUIPMENT & SUPPLIES
3844,Industrial Applications and Services,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
3845,Industrial Applications and Services,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
3851,Industrial Applications and Services,OPHTHALMIC GOODS
3861,Industrial Applications and Services,PHOTOGRAPHIC EQUIPMENT & SUPPLIES
3873,Industrial Applications and Services,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES/PARTS"
3910,Office of Manufacturing,"JEWELRY, SILVERWARE & PLATED WARE"
3911,Office of Manufacturing,"JEWELRY, PRECIOUS METAL"
3931,Office of Manufacturing,MUSICAL INSTRUMENTS
3942,Office of Manufacturing,DOLLS & STUFFED TOYS
3944,Office of Manufacturing,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
3949,Office of Manufacturing,"SPORTING & ATHLETIC GOODS, NEC"
3950,Office of Manufacturing,"PENS, PENCILS & OTHER ARTISTS' MATERIALS"
3960,Office of Manufacturing,COSTUME JEWELRY & NOVELTIES
3990,Office of Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES
4011,Office of Energy & Transportation,"RAILROADS, LINE-HAUL OPERATING"
4013,Office of Energy & Transportation,RAILROAD SWITCHING & TERMINAL ESTABLISHMENTS
4100,Office of Energy & Transportation,LOCAL & SUBURBAN TRANSIT & INTERURBAN HWY PASSENGER TRANS
4210,Office of Energy & Transportation,TRUCKING & COURIER SERVICES (NO AIR)
4213,Office of Energy & Transportation,TRUCKING (NO LOCAL)
4220,Office of Energy & Transportation,PUBLIC WAREHOUSING & STORAGE
4231,Office of Energy & Transportation,TERMINAL MAINTENANCE FACILITIES FOR MOTOR FREIGHT TRANSPORT
4400,Office of Energy & Transportation,WATER TRANSPORTATION
4412,Office of Energy & Transportation,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED"
4513,Office of Energy & Transportation,AIR COURIER SERVICES
4522,Office of Energy & Transportation,"AIR TRANSPORTATION, NONSCHEDULED"
4581,Office of Energy & Transportation,"AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES"
4610,Office of Energy & Transportation,PIPE LINES (NO NATURAL GAS)
4700,Office of Energy & Transportation,TRANSPORTATION SERVICES
4731,Office of Energy & Transportation,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
4812,Office of Technology,RADIOTELEPHONE COMMUNICATIONS
4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
4822,Office of Technology,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS
4832,Office of Technology,RADIO BROADCASTING STATIONS
4833,Office of Technology,TELEVISION BROADCASTING STATIONS
4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES
4899,Office of Technology,"COMMUNICATIONS SERVICES, NEC"
4900,Office of Energy & Transportation,"ELECTRIC, GAS & SANITARY SERVICES"
4911,Office of Energy & Transportation,ELECTRIC SERVICES
4922,Office of Energy & Transportation,NATURAL GAS TRANSMISSION
4923,Office of Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION
4924,Office of Energy & Transportation,NATURAL GAS DISTRIBUTION
4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED
4932,Office of Energy & Transportation,GAS & OTHER SERVICES COMBINED
4941,Office of Energy & Transportation,WATER SUPPLY
4950,Office of Energy & Transportation,SANITARY SERVICES
4953,Office of Energy & Transportation,REFUSE SYSTEMS
4955,Office of Energy & Transportation,HAZARDOUS WASTE MANAGEMENT
4961,Office of Energy & Transportation,STEAM & AIR-CONDITIONING SUPPLY
4991,Office of Energy & Transportation,COGENERATION SERVICES & SMALL POWER PRODUCERS
5000,Office of Trade & Services,WHOLESALE-DURABLE GOODS
5010,Office of Trade & Services,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
5013,Office of Trade & Services,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS
5020,Office of Trade & Services,WHOLESALE-FURNITURE & HOME FURNISHINGS
5030,Office of Trade & Services,WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS
5031,Office of Trade & Services,"WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS"
5040,Office of Trade & Services,WHOLESALE-PROFESSIONAL & COMMERCIAL EQUIPMENT & SUPPLIES
5045,Office of Trade & Services,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE
5047,Office of Trade & Services,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES"
5050,Office of Trade & Services,WHOLESALE-METALS & MINERALS (NO PETROLEUM)
5051,Office of Trade & Services,WHOLESALE-METALS SERVICE CENTERS & OFFICES
5063,Office of Trade & Services,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES"
5064,Office of Trade & Services,"WHOLESALE-ELECTRICAL APPLIANCES, TV & RADIO SETS"
5065,Office of Trade & Services,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC"
5070,Office of Trade & Services,WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES
5072,Office of Trade & Services,WHOLESALE-HARDWARE
5080,Office of Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES"
5082,Office of Trade & Services,WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP
5084,Office of Trade & Services,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT
5090,Office of Trade & Services,WHOLESALE-MISC DURABLE GOODS
5094,Office of Trade & Services,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS"
5099,Office of Trade & Services,"WHOLESALE-DURABLE GOODS, NEC"
5110,Office of Trade & Services,WHOLESALE-PAPER & PAPER PRODUCTS
5122,Office of Trade & Services,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
5130,Office of Trade & Services,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS"
5140,Office of Trade & Services,WHOLESALE-GROCERIES & RELATED PRODUCTS
5141,Office of Trade & Services,"WHOLESALE-GROCERIES, GENERAL LINE"
5150,Office of Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS
5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS
5171,Office of Trade & Services,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS
5172,Office of Trade & Services,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)
5180,Office of Trade & Services,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES"
5190,Office of Trade & Services,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS
5200,Office of Trade & Services,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
5211,Office of Trade & Services,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
5271,Office of Trade & Services,RETAIL-MOBILE HOME DEALERS
5311,Office of Trade & Services,RETAIL-DEPARTMENT STORES
5331,Office of Trade & Services,RETAIL-VARIETY STORES
5399,Office of Trade & Services,RETAIL-MISC GENERAL MERCHANDISE STORES
5400,Office of Trade & Services,RETAIL-FOOD STORES
5411,Office of Trade & Services,RETAIL-GROCERY STORES
5412,Office of Trade & Services,RETAIL-CONVENIENCE STORES
5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS
5531,Office of Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES
5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES
5621,Office of Trade & Services,RETAIL-WOMEN'S CLOTHING STORES
5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES
5661,Office of Trade & Services,RETAIL-SHOE STORES
5700,Office of Trade & Services,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES"
5712,Office of Trade & Services,RETAIL-FURNITURE STORES
5731,Office of Trade & Services,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES"
5734,Office of Trade & Services,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES
5735,Office of Trade & Services,RETAIL-RECORD & PRERECORDED TAPE STORES
5810,Office of Trade & Services,RETAIL-EATING & DRINKING PLACES
5812,Office of Trade & Services,RETAIL-EATING PLACES
5900,Office of Trade & Services,RETAIL-MISCELLANEOUS RETAIL
5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES
5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
5944,Office of Trade & Services,RETAIL-JEWELRY STORES
5945,Office of Trade & Services,"RETAIL-HOBBY, TOY & GAME SHOPS"
5960,Office of Trade & Services,RETAIL-NONSTORE RETAILERS
5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES
5990,Office of Trade & Services,"RETAIL-RETAIL STORES, NEC"
6021,Office of Finance,NATIONAL COMMERCIAL BANKS
6022,Office of Finance,STATE COMMERCIAL BANKS
6029,Office of Finance,"COMMERCIAL BANKS, NEC"
6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
6036,Office of Finance,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
6099,Office of Finance,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC"
6111,Office of Finance,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES
6141,Office of Finance,PERSONAL CREDIT INSTITUTIONS
6153,Office of Finance,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
6159,Office of Finance,MISCELLANEOUS BUSINESS CREDIT INSTITUTION
6162,Office of Finance,MORTGAGE BANKERS & LOAN CORRESPONDENTS
6163,Office of Finance,LOAN BROKERS
6172,Office of Finance,FINANCE LESSORS
6189,Office of Structured Finance,ASSET-BACKED SECURITIES
6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES
6200,Office of Crypto Assets,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
6211,Office of Finance or Office of Crypto Assets,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
6221,Office of Crypto Assets,COMMODITY CONTRACTS BROKERS & DEALERS
6282,Office of Finance,INVESTMENT ADVICE
6311,Office of Finance,LIFE INSURANCE
6321,Office of Finance,ACCIDENT & HEALTH INSURANCE
6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS
6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE"
6351,Office of Finance,SURETY INSURANCE
