table,name,description_pt,description_en,description_es
institution,longitude,Longitude da instituição em graus decimais,Longitude of the institution in decimal degrees,Longitud de la institución en grados decimales
institution,control,"Natureza administrativa da instituição, conforme o IPEDS","Control of the institution, per IPEDS","Naturaleza administrativa de la institución, según el IPEDS"
institution,control_peps,"Natureza administrativa da instituição, conforme o sistema PEPS","Control of the institution, per the PEPS system","Naturaleza administrativa de la institución, según el sistema PEPS"
institution,ownership_peps,"Tipo de mantenedora da instituição, conforme o sistema PEPS","Ownership type of the institution, per the PEPS system","Tipo de titularidad de la institución, según el sistema PEPS"
institution,scorecard_sector,Setor da instituição segundo a classificação do College Scorecard,Sector of the institution under the College Scorecard classification,Sector de la institución según la clasificación del College Scorecard
institution,institution_level,Nível da instituição segundo as características institucionais do IPEDS,Level of the institution per IPEDS institutional characteristics,Nivel de la institución según las características institucionales del IPEDS
institution,predominant_degree,Grau predominante concedido pela instituição na graduação,Predominant undergraduate degree awarded by the institution,Grado predominante otorgado por la institución en el pregrado
institution,predominant_degree_recoded,"Grau predominante concedido, com os códigos 0 e 4 recodificados","Predominant degree awarded, with codes 0 and 4 recoded","Grado predominante otorgado, con los códigos 0 y 4 recodificados"
institution,highest_degree,Grau mais alto concedido pela instituição,Highest degree awarded by the institution,Grado más alto otorgado por la institución
institution,main_campus,Indica se a unidade é o campus principal da instituição,Whether the unit is the institution's main campus,Indica si la unidad es el campus principal de la institución
institution,branch_campuses,Número de campi da instituição,Number of campuses of the institution,Número de campus de la institución
institution,carnegie_basic,Classificação Carnegie básica da instituição,Carnegie basic classification of the institution,Clasificación Carnegie básica de la institución
institution,carnegie_undergraduate_profile,Perfil de graduação da instituição na classificação Carnegie,Carnegie undergraduate profile of the institution,Perfil de pregrado de la institución en la clasificación Carnegie
institution,carnegie_size_setting,Porte e regime de residência da instituição na classificação Carnegie,Carnegie size and setting of the institution,Tamaño y régimen de residencia de la institución en la clasificación Carnegie
institution,online_only,Indica se a instituição oferece exclusivamente ensino a distância,Whether the institution offers distance education only,Indica si la institución ofrece exclusivamente educación a distancia
institution,currently_operating,Indica se a instituição estava em funcionamento no ano de referência,Whether the institution was operating in the reference year,Indica si la institución estaba en funcionamiento en el año de referencia
institution,open_admissions_policy,Indica se a instituição adota política de admissão aberta,Whether the institution has an open admissions policy,Indica si la institución aplica una política de admisión abierta
institution,religious_affiliation,Afiliação religiosa da instituição,Religious affiliation of the institution,Afiliación religiosa de la institución
institution,men_only,Indica se a instituição atende exclusivamente homens,Whether the institution serves men only,Indica si la institución atiende exclusivamente a hombres
institution,women_only,Indica se a instituição atende exclusivamente mulheres,Whether the institution serves women only,Indica si la institución atiende exclusivamente a mujeres
institution,historically_black,Indica se a instituição é uma faculdade ou universidade historicamente negra,Whether the institution is a historically black college or university,Indica si la institución es una universidad históricamente negra
institution,predominantly_black,Indica se a instituição é classificada como predominantemente negra,Whether the institution is classified as predominantly black,Indica si la institución se clasifica como predominantemente negra
institution,alaska_native_hawaiian_serving,Indica se a instituição atende predominantemente nativos do Alasca ou nativos havaianos,Whether the institution predominantly serves Alaska Natives or Native Hawaiians,Indica si la institución atiende predominantemente a nativos de Alaska o nativos hawaianos
institution,tribal_college,Indica se a instituição é uma faculdade tribal,Whether the institution is a tribal college,Indica si la institución es una universidad tribal
institution,asian_pacific_islander_serving,"Indica se a instituição atende predominantemente asiático-americanos, nativos americanos ou nativos das ilhas do Pacífico","Whether the institution predominantly serves Asian Americans, Native Americans or Pacific Islanders","Indica si la institución atiende predominantemente a asiático-americanos, nativos americanos o isleños del Pacífico"
institution,hispanic_serving,Indica se a instituição atende predominantemente estudantes hispânicos,Whether the institution predominantly serves Hispanic students,Indica si la institución atiende predominantemente a estudiantes hispanos
institution,native_american_non_tribal,Indica se a instituição atende predominantemente nativos americanos sem ser uma faculdade tribal,Whether the institution predominantly serves Native Americans without being a tribal college,Indica si la institución atiende predominantemente a nativos americanos sin ser una universidad tribal
institution,accreditor_name,Nome da agência acreditadora da instituição,Name of the institution's accrediting agency,Nombre de la agencia acreditadora de la institución
institution,accreditor_code,Código da agência acreditadora da instituição,Code of the institution's accrediting agency,Código de la agencia acreditadora de la institución
institution,title_iv_eligibility_type,Tipo de elegibilidade da instituição ao Título IV da Lei do Ensino Superior,Institution's eligibility type under Title IV of the Higher Education Act,Tipo de elegibilidad de la institución al Título IV de la Ley de Educación Superior
institution,title_iv_approval_date,Data de aprovação da instituição para o Título IV,Date the institution was approved for Title IV,Fecha de aprobación de la institución para el Título IV
institution,heightened_cash_monitoring,Indica se a instituição está sob monitoramento reforçado de repasses (Heightened Cash Monitoring 2),Whether the institution is under Heightened Cash Monitoring 2,Indica si la institución está bajo monitoreo reforzado de desembolsos (Heightened Cash Monitoring 2)
institution,dol_provider,Indica se a instituição é provedora registrada junto ao Departamento do Trabalho,Whether the institution is a registered Department of Labor provider,Indica si la institución es proveedora registrada ante el Departamento de Trabajo
institution,undergraduate_enrollment,Número de estudantes de graduação matriculados em cursos de grau,Number of degree-seeking undergraduate students enrolled,Número de estudiantes de pregrado matriculados en carreras de grado
institution,undergraduate_enrollment_all,"Número total de estudantes de graduação, incluindo os não matriculados em cursos de grau","Total number of undergraduate students, including non-degree-seeking students","Número total de estudiantes de pregrado, incluidos los no matriculados en carreras de grado"
institution,tuition_revenue_per_fte,Receita líquida de mensalidades por estudante equivalente a tempo integral,Net tuition revenue per full-time equivalent student,Ingreso neto por matrícula por estudiante equivalente a tiempo completo
institution,instructional_expenditure_per_fte,Despesa com ensino por estudante equivalente a tempo integral,Instructional expenditure per full-time equivalent student,Gasto en enseñanza por estudiante equivalente a tiempo completo
institution,average_faculty_salary,Salário mensal médio do corpo docente,Average monthly faculty salary,Salario mensual promedio del cuerpo docente
institution,full_time_faculty_rate,"Proporção do corpo docente contratada em tempo integral, de 0 a 1","Share of faculty employed full time, from 0 to 1","Proporción del cuerpo docente contratada a tiempo completo, de 0 a 1"
institution,endowment_begin,Valor do fundo patrimonial da instituição no início do exercício,Value of the institution's endowment at the beginning of the fiscal year,Valor del fondo patrimonial de la institución al inicio del ejercicio
institution,endowment_end,Valor do fundo patrimonial da instituição no fim do exercício,Value of the institution's endowment at the end of the fiscal year,Valor del fondo patrimonial de la institución al final del ejercicio
institution,admission_rate,"Taxa de admissão da instituição, de 0 a 1","Admission rate of the institution, from 0 to 1","Tasa de admisión de la institución, de 0 a 1"
institution,admission_rate_all_campuses,"Taxa de admissão agregada por código OPE de 6 dígitos, de 0 a 1","Admission rate aggregated by 6-digit OPE ID, from 0 to 1","Tasa de admisión agregada por código OPE de 6 dígitos, de 0 a 1"
institution,admission_rate_suppressed,"Taxa de admissão com supressão aplicada a coortes pequenas, de 0 a 1","Admission rate with suppression applied to small cohorts, from 0 to 1","Tasa de admisión con supresión aplicada a cohortes pequeñas, de 0 a 1"
institution,test_score_requirement,Exigência da instituição quanto a notas de exames padronizados na admissão,Institution's requirement for standardised test scores in admissions,Exigencia de la institución sobre puntajes de exámenes estandarizados en la admisión
institution,sat_average,Nota média no SAT entre os estudantes admitidos,Average SAT score among admitted students,Puntaje promedio del SAT entre los estudiantes admitidos
institution,sat_average_all_campuses,Nota média no SAT agregada por código OPE de 6 dígitos,Average SAT score aggregated by 6-digit OPE ID,Puntaje promedio del SAT agregado por código OPE de 6 dígitos
institution,sat_reading_p25,"Nota de leitura crítica no SAT entre os estudantes admitidos, no percentil 25","SAT critical reading score among admitted students, at the 25th percentile","Puntaje de lectura crítica del SAT entre los estudiantes admitidos, en el percentil 25"
institution,sat_reading_p50,"Nota de leitura crítica no SAT entre os estudantes admitidos, na mediana","SAT critical reading score among admitted students, at the median","Puntaje de lectura crítica del SAT entre los estudiantes admitidos, en la mediana"
institution,sat_reading_p75,"Nota de leitura crítica no SAT entre os estudantes admitidos, no percentil 75","SAT critical reading score among admitted students, at the 75th percentile","Puntaje de lectura crítica del SAT entre los estudiantes admitidos, en el percentil 75"
institution,sat_reading_midpoint,"Nota de leitura crítica no SAT entre os estudantes admitidos, no ponto médio","SAT critical reading score among admitted students, at the midpoint","Puntaje de lectura crítica del SAT entre los estudiantes admitidos, en el punto medio"
institution,sat_math_p25,"Nota de matemática no SAT entre os estudantes admitidos, no percentil 25","SAT math score among admitted students, at the 25th percentile","Puntaje de matemáticas del SAT entre los estudiantes admitidos, en el percentil 25"
institution,sat_math_p50,"Nota de matemática no SAT entre os estudantes admitidos, na mediana","SAT math score among admitted students, at the median","Puntaje de matemáticas del SAT entre los estudiantes admitidos, en la mediana"
institution,sat_math_p75,"Nota de matemática no SAT entre os estudantes admitidos, no percentil 75","SAT math score among admitted students, at the 75th percentile","Puntaje de matemáticas del SAT entre los estudiantes admitidos, en el percentil 75"
institution,sat_math_midpoint,"Nota de matemática no SAT entre os estudantes admitidos, no ponto médio","SAT math score among admitted students, at the midpoint","Puntaje de matemáticas del SAT entre los estudiantes admitidos, en el punto medio"
institution,sat_writing_p25,"Nota de redação no SAT entre os estudantes admitidos, no percentil 25","SAT writing score among admitted students, at the 25th percentile","Puntaje de redacción del SAT entre los estudiantes admitidos, en el percentil 25"
institution,sat_writing_p75,"Nota de redação no SAT entre os estudantes admitidos, no percentil 75","SAT writing score among admitted students, at the 75th percentile","Puntaje de redacción del SAT entre los estudiantes admitidos, en el percentil 75"
institution,sat_writing_midpoint,"Nota de redação no SAT entre os estudantes admitidos, no ponto médio","SAT writing score among admitted students, at the midpoint","Puntaje de redacción del SAT entre los estudiantes admitidos, en el punto medio"
institution,act_composite_p25,"Nota composta no ACT entre os estudantes admitidos, no percentil 25","ACT cumulative score among admitted students, at the 25th percentile","Puntaje compuesto del ACT entre los estudiantes admitidos, en el percentil 25"
institution,act_composite_p50,"Nota composta no ACT entre os estudantes admitidos, na mediana","ACT cumulative score among admitted students, at the median","Puntaje compuesto del ACT entre los estudiantes admitidos, en la mediana"
institution,act_composite_p75,"Nota composta no ACT entre os estudantes admitidos, no percentil 75","ACT cumulative score among admitted students, at the 75th percentile","Puntaje compuesto del ACT entre los estudiantes admitidos, en el percentil 75"
institution,act_composite_midpoint,"Nota composta no ACT entre os estudantes admitidos, no ponto médio","ACT cumulative score among admitted students, at the midpoint","Puntaje compuesto del ACT entre los estudiantes admitidos, en el punto medio"
institution,act_english_p25,"Nota de inglês no ACT entre os estudantes admitidos, no percentil 25","ACT English score among admitted students, at the 25th percentile","Puntaje de inglés del ACT entre los estudiantes admitidos, en el percentil 25"
institution,act_english_p50,"Nota de inglês no ACT entre os estudantes admitidos, na mediana","ACT English score among admitted students, at the median","Puntaje de inglés del ACT entre los estudiantes admitidos, en la mediana"
institution,act_english_p75,"Nota de inglês no ACT entre os estudantes admitidos, no percentil 75","ACT English score among admitted students, at the 75th percentile","Puntaje de inglés del ACT entre los estudiantes admitidos, en el percentil 75"
institution,act_english_midpoint,"Nota de inglês no ACT entre os estudantes admitidos, no ponto médio","ACT English score among admitted students, at the midpoint","Puntaje de inglés del ACT entre los estudiantes admitidos, en el punto medio"
institution,act_math_p25,"Nota de matemática no ACT entre os estudantes admitidos, no percentil 25","ACT math score among admitted students, at the 25th percentile","Puntaje de matemáticas del ACT entre los estudiantes admitidos, en el percentil 25"
institution,act_math_p50,"Nota de matemática no ACT entre os estudantes admitidos, na mediana","ACT math score among admitted students, at the median","Puntaje de matemáticas del ACT entre los estudiantes admitidos, en la mediana"
institution,act_math_p75,"Nota de matemática no ACT entre os estudantes admitidos, no percentil 75","ACT math score among admitted students, at the 75th percentile","Puntaje de matemáticas del ACT entre los estudiantes admitidos, en el percentil 75"
institution,act_math_midpoint,"Nota de matemática no ACT entre os estudantes admitidos, no ponto médio","ACT math score among admitted students, at the midpoint","Puntaje de matemáticas del ACT entre los estudiantes admitidos, en el punto medio"
institution,act_writing_p25,"Nota de redação no ACT entre os estudantes admitidos, no percentil 25","ACT writing score among admitted students, at the 25th percentile","Puntaje de redacción del ACT entre los estudiantes admitidos, en el percentil 25"
institution,act_writing_p75,"Nota de redação no ACT entre os estudantes admitidos, no percentil 75","ACT writing score among admitted students, at the 75th percentile","Puntaje de redacción del ACT entre los estudiantes admitidos, en el percentil 75"
institution,act_writing_midpoint,"Nota de redação no ACT entre os estudantes admitidos, no ponto médio","ACT writing score among admitted students, at the midpoint","Puntaje de redacción del ACT entre los estudiantes admitidos, en el punto medio"
field_of_study,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
field_of_study,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
field_of_study,opeid6,Código OPE de 6 dígitos da instituição,6-digit OPE ID for institution,Código OPE de 6 dígitos de la institución
field_of_study,institution_name,Nome da instituição,Institution name,Nombre de la institución
field_of_study,control,Natureza administrativa da instituição,Control of institution,Naturaleza administrativa de la institución
field_of_study,main_campus,Indica se a unidade é o campus principal da instituição,Flag for main campus,Indica si la unidad es el campus principal de la institución
field_of_study,cip_code,Código CIP de 4 dígitos da área de formação,Classification of Instructional Programs (CIP) code for the field of study,Código CIP de 4 dígitos del campo de estudio
field_of_study,cip_description,Nome da área de formação correspondente ao código CIP,Text description of the field of study CIP Code,Nombre del campo de estudio correspondiente al código CIP
field_of_study,credential_level,Nível da credencial concedida,Level of credential,Nivel de la credencial otorgada
field_of_study,credential_description,Nome do nível da credencial concedida,Text description of the level of credential,Nombre del nivel de la credencial otorgada
field_of_study,ipedscount1,Número de diplomas concedidos no primeiro ano da coorte agrupada de endividamento,Number of awards to all students in year 1 of the pooled debt cohort,Número de títulos otorgados en el primer año de la cohorte agrupada de endeudamiento
field_of_study,ipedscount2,Número de diplomas concedidos no segundo ano da coorte agrupada de endividamento,Number of awards to all students in year 2 of the pooled debt cohort,Número de títulos otorgados en el segundo año de la cohorte agrupada de endeudamiento
field_of_study,debt_all_stgp_any_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada no conjunto das instituições,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed at all institutions,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_stgp_any_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada no conjunto das instituições,Average Stafford and Grad PLUS loan debt disbursed at all institutions,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_stgp_any_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada no conjunto das instituições,Median Stafford and Grad PLUS loan debt disbursed at all institutions,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_stgp_eval_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada nesta instituição,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed at this institution,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada en esta institución
field_of_study,debt_all_stgp_eval_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada nesta instituição,Average Stafford and Grad PLUS loan debt disbursed at this institution,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada en esta institución
field_of_study,debt_all_stgp_eval_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada nesta instituição,Median Stafford and Grad PLUS loan debt disbursed at this institution,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada en esta institución
field_of_study,debt_all_pp_any_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada no conjunto das instituições,Student recipient count for average/median Parent PLUS loan debt disbursed at all institutions,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_pp_any_mean,Média d a dívida de empréstimos Parent PLUS desembolsada no conjunto das instituições,Average Parent PLUS loan debt disbursed at all institutions,Promedio de la deuda de préstamos Parent PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_pp_any_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada no conjunto das instituições,Median Parent PLUS loan debt disbursed at all institutions,Mediana de la deuda de préstamos Parent PLUS desembolsada en el conjunto de las instituciones
field_of_study,debt_all_pp_eval_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada nesta instituição,Student recipient count for average/median Parent PLUS loan debt disbursed at this institution,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada en esta institución
field_of_study,debt_all_pp_eval_mean,Média d a dívida de empréstimos Parent PLUS desembolsada nesta instituição,Average Parent PLUS loan debt disbursed at this institution,Promedio de la deuda de préstamos Parent PLUS desembolsada en esta institución
field_of_study,debt_all_pp_eval_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada nesta instituição,Median Parent PLUS loan debt disbursed at this institution,Mediana de la deuda de préstamos Parent PLUS desembolsada en esta institución
field_of_study,debt_male_stgp_any_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to males at all institutions,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_stgp_any_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Average Stafford and Grad PLUS loan debt disbursed to males at all institutions,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_stgp_any_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Median Stafford and Grad PLUS loan debt disbursed to males at all institutions,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_stgp_eval_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino nesta instituição,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to males at this institution,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_male_stgp_eval_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino nesta instituição,Average Stafford and Grad PLUS loan debt disbursed to males at this institution,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_male_stgp_eval_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes do sexo masculino nesta instituição,Median Stafford and Grad PLUS loan debt disbursed to males at this institution,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_male_pp_any_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Student recipient count for average/median Parent PLUS loan debt disbursed to males at all institutions,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_pp_any_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Average Parent PLUS loan debt disbursed to males at all institutions,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_pp_any_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino no conjunto das instituições,Median Parent PLUS loan debt disbursed to males at all institutions,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en el conjunto de las instituciones
field_of_study,debt_male_pp_eval_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino nesta instituição,Student recipient count for average/median Parent PLUS loan debt disbursed to males at this institution,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_male_pp_eval_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino nesta instituição,Average Parent PLUS loan debt disbursed to males at this institution,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_male_pp_eval_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes do sexo masculino nesta instituição,Median Parent PLUS loan debt disbursed to males at this institution,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes de sexo masculino en esta institución
field_of_study,debt_notmale_stgp_any_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_stgp_any_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Average Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_stgp_any_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Median Stafford and Grad PLUS loan debt disbursed to non-males at all institutions,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_stgp_eval_n,Número de tomadores usado no cálculo da média e da mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos nesta instituição,Borrower count for average/median Stafford and Grad PLUS loan debt disbursed to non-males at this institution,Número de prestatarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en esta institución
field_of_study,debt_notmale_stgp_eval_mean,Média d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos nesta instituição,Average Stafford and Grad PLUS loan debt disbursed to non-males at this institution,Promedio de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en esta institución
field_of_study,debt_notmale_stgp_eval_mdn,Mediana d a dívida de empréstimos Stafford e Grad PLUS desembolsada a estudantes não masculinos nesta instituição,Median Stafford and Grad PLUS loan debt disbursed to non-males at this institution,Mediana de la deuda de préstamos Stafford y Grad PLUS desembolsada a estudiantes no masculinos en esta institución
field_of_study,debt_notmale_pp_any_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at all institutions,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_pp_any_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Average Parent PLUS loan debt disbursed to non-males at all institutions,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_pp_any_mdn,Mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos no conjunto das instituições,Median Parent PLUS loan debt disbursed to non-males at all institutions,Mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en el conjunto de las instituciones
field_of_study,debt_notmale_pp_eval_n,Número de estudantes beneficiários usado no cálculo da média e da mediana d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos nesta instituição,Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at this institution,Número de estudiantes beneficiarios usado en el cálculo del promedio y la mediana de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en esta institución
field_of_study,debt_notmale_pp_eval_mean,Média d a dívida de empréstimos Parent PLUS desembolsada a estudantes não masculinos nesta instituição,Average Parent PLUS loan debt disbursed to non-males at this institution,Promedio de la deuda de préstamos Parent PLUS desembolsada a estudiantes no masculinos en esta institución
