"ntee","description","definition"
"A40","Visual Arts","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles."
"A50","Museums","Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below."
"A51","Art Museums","Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style."
"A52","Children's Museums","Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits. NOTE: See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children."
"A53","Folk Arts Museums<i>(Draft Code - not for internal IRS use)</i>","Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans."
"A54","History Museums","Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures."
"A56","Natural History & Natural Science Museums","Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology."
"A57","Science & Technology Museums","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences."
"A60","Performing Arts","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below."
"A61","Performing Arts Centers","Organizations that operate facilities including theaters for the performing arts."
"A62","Dance","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing."
"A63","Ballet","Dance organizations that create and/or perform primarily ballet."
"A65","Theater","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)"
"A68","Music","Organizations whose primary activity is the production of musical events, including concert series and music festivals."
"A69","Symphony Orchestras","Organizations whose primary activity is the operation of a symphony <p> orchestra including youth symphonies."
"A6A","Opera","Organizations whose primary activity is the production of operas."
"A6B","Singing & Choral Groups","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles."
"A6C","Bands & Ensembles","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues."
"A6E","Performing Arts Schools","Organizations that offer classes in the performing arts but do not confer academic degrees."
"A70","Humanities","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion)."
"A80","Historical Organizations","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below."
"A82","Historical Societies & Historic Preservation","Organizations that interpret, collect and preserve the historical heritage of a specific geographic location."
"A84","Commemorative Events","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions."
"A90","Arts Services","Organizations that provide services such as facilities or touring assistance for arts organizations."
"A99","Arts, Culture & Humanities N.E.C.","Organizations that provide arts and humanities services or products not covered by other categories."
"B","Education",NA
"B01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Education major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"B02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Education major group area."
"B03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Education major group area."
"B05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Education major group area."
"B11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Education major group."
"B12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Education major group area."
"B19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Education major group area."
"B20","Elementary & Secondary Schools","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve."
"B21","Preschools","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting."
"B24","Primary & Elementary Schools","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system."
"B25","Secondary & High Schools","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation."
"B28","Special Education","Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn."
"B29","Charter Schools","Schools run independently of the traditional public school system but receiving public funding and operating by a charter. This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success."
"B30","Vocational & Technical Schools","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment."
"B40","Higher Education","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. Use this code for higher education institutions not specified below."
"B41","Two-Year Colleges","Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate."
"B42","Undergraduate Colleges","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree."
"B43","Universities","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes."
"B50","Graduate & Professional Schools","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate."
"B60","Adult Education","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest."
"B70","Libraries","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population."
"B80","Student Services","Organizations that provide services, facilities and programs that support student needs, foster student learning and personal development, create a healthy and diverse community, and enrich student life."
"B82","Scholarships & Student Financial Aid","Organizations that enable students who demonstrate financial need to obtain the financial assistance they require to meet their educational and living expenses while in school."
"B83","Student Sororities & Fraternities","Associations for male and female students which are chapters of national or international organizations, have secret rites and restricted membership, and may undertake, as a part of their activities, community improvement or charitable projects. Included are student sororities and fraternities and honorary societies that represent specific academic disciplines."
"B84","Alumni Associations","Organizations whose members are graduates of a particular educational institution who provide support for the institution in the form of financial contributions, student recruitment efforts, promotional activities, fund-raising events and continued ties with the academic program."
"B90","Educational Services","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life. Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools."
"B92","Remedial Reading & Encouragement","Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills."
"B94","Parent & Teacher Groups","Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children."
"B99","Education N.E.C.","Use this code for organizations that clearly provide education services where the major purpose is unclear cannot be accurately assigned."
"C","Environment","Private nonprofit organizations whose primary purpose is to preserve, protect and improve the environment."
"C01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Environment major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"C02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Environment major group area."
"C03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Environment major group area."
"C05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Environment major group area."
"C11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Environment major group area."
"C12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Environment major group area."
"C19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Environment major group area."
"C20","Pollution Abatement & Control","Organizations which seek to ensure that communities have a clean and healthful environment that is free from air and water pollution, pesticides and other hazardous substances, damaging radiation and excessive levels of noise."
"C27","Recycling","Organizations that collect and process paper, aluminum, glass, and other materials that can be recycled and reused."
"C30","Natural Resources Conservation & Protection","Organizations that protect our natural resources from abuse, neglect, waste or exploitation and preserve their availability for future generations."
"C32","Water Resources, Wetlands Conservation & Management","Organizations that preserve and protect water resources from indiscriminate waste and ensure that the supply of quality water is adequate to meet the needs of the public, agriculture and industry. Also included are organizations that preserve and manage coastal lands including shorelines, coastal waters and lands extending inland from the shore which affect coastal waters; bays, lakes, rivers, wetlands, estuaries, watersheds and other aquatic habitats."
"C34","Land Resources Conservation","Organizations that preserve and protect endangered land resources from indiscriminate development, destruction or decay and which manage the utilization of renewable and nonrenewable resources to ensure ongoing availability. Included are conservation of the nations forests, rangeland, vegetation, deserts, wild and scenic rivers and other wilderness areas and open land spaces; and reestablishment of areas that have been devastated by destructive activities such as strip mining or other destructive activities."
"C35","Energy Resources Conservation & Development","Organizations that conserve existing energy resources, ensure efficient use of available energy and develop new energy resources while protecting the quality of the environment."
"C36","Forest Conservation","Organizations involved with forest lands and the protection of the nations forests from insects, disease, fire, erosion, air pollution and other destructive forces."
"C40","Botanical, Horticultural & Landscape Services","Organizations that are involved in the cultivation of plant life for a variety of purposes."
"C41","Botanical Gardens & Arboreta","Organizations that plant, maintain and display for public study and enjoyment collections of flowers, trees, shrubs and ground cover, some of which are rare and exotic."
"C42","Garden Clubs","Organizations that provide organized opportunities for individuals to pursue their interest in ornamental plants, flowers, trees, shrubs, house plants, herbs, garden fruits and vegetables or other species of plants."
"C50","Environmental Beautification","Organizations that enhance the aesthetic characteristics of the built environment by acquiring and preserving open spaces for public enjoyment; planting trees, flowers and shrubs in public places; conducting recycling and roadside cleanup campaigns; and engaging in other environmental beautification activities."
"C60","Environmental Education","Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance."
"C99","Environment N.E.C.","Use this code for organizations that clearly provide environmental quality services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"D","Animal-Related","Private nonprofit organizations whose primary purpose is to provide for the care, protection and control of wildlife and domestic animals that are a part of the living environment; to help people develop an understanding of their pets; and to train animals for purposes of showing."
"D01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Animal-Related major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"D02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Animal-Related major group area."
"D03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Animal-Related major group area."
"D05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Animal-Related major group area."
"D11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Animal-Related major group area."
"D12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Animal-Related major group area."
"D19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Animal-Related major group area."
"D20","Animal Protection & Welfare","Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals."
"D30","Wildlife Preservation & Protection","Organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife."
"D31","Protection of Endangered Species","Organizations that identify and promote laws for the protection of species of birds, animals, fish or other wildlife that are at risk of extinction; and/or which sponsor programs for breeding endangered species in captivity and releasing them to selected habitats in the wild in which they are given a better chance for survival."
"D32","Bird Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild birds by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference."
"D33","Fisheries Resources","Organizations that provide for the conservation, protection and management of different species of fish by establishing coastal, lake, reservoir or other inland fisheries where different species of fish are hatched in protected environments and used to stock public waters that have been depleted."
"D34","Wildlife Sanctuaries","Organizations that provide for the conservation, protection and management of different species of wild animals by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference."
"D40","Veterinary Services","Organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems."
"D50","Zoos & Aquariums","Organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing."
"D60","Animal Services N.E.C.","Organizations that offer services which help individuals develop an understanding of the animal species in which they have an interest and/or to work more effectively with their pets."
"D61","Animal Training","Organizations that provide classes for people who want to develop a basic understanding and control of their pets \[These are typically section 501(c)(7) exempt organizations\]."
"D99","Animal-Related N.E.C.","Use this code for organizations that clearly provide animal-related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"E","Health Care",NA
"E01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Health - General and Rehabilitative major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"E02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Health - General and Rehabilitative major group area."
"E03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Health - General and Rehabilitative major group area."
"E05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Health - General and Rehabilitative major group area."
"E11","Single Organization Support","Organizations existing as a support and fund-raising entity for single institutions, multihospital health care systems, and similar diversified health systems comprised of closely-affiliated organizations within the Health Care major group area."
"E12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Health - General and Rehabilitative major group area."
"E19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance, fund raising, or patient care services for other organizations within the Health General and Rehabilitative major group area."
"E20","Hospitals","Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below."
"E21","Community Health Systems","Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization. Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)"
"E22","General Hospitals","Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
"E24","Specialty Hospitals","Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions."
"E30","Ambulatory & Primary Health Care","Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. Use this code for types of outpatient facilities or services not specified below."
"E31","Group Health Practices","Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
"E32","Community Clinics","Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
"E40","Reproductive Health Care","Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. Use this code for organizations other than family planning centers that offer reproductive health services."
"E42","Family Planning","Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. Use this code for Planned Parenthood organizations."
"E50","Rehabilitative Care","Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society."
"E60","Health Support","Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. Use this code for organizations that provide a wide range of health support services or which offer services not specified below."
"E61","Blood Banks","Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible."
"E62","Emergency Medical Services & Transport","Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities."
"E65","Organ & Tissue Banks","Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations."
"E6A","Pharmacies and drug stores","NULL"
"E70","Public Health","Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
"E80","Health (General & Financing)","Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general."
"E86","Patient & Family Support","Organizations that provide support services to patients and their families. Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill child’s final days, weeks and months more pleasant. (rev. 9/2005)"
"E90","Nursing","Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below."
"E91","Nursing Facilities","Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness."
"E92","Home Health Care","Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized."
"E99","Health Care N.E.C.","Use this code for organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"F","Mental Health & Crisis Intervention",NA
"F01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Mental Health, Crisis Intervention major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"F02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Mental Health, Crisis Intervention major group area."
"F03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Mental Health, Crisis Intervention major group area."
"F05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Mental Health, Crisis Intervention major group area."
"F11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Mental Health & Crisis Intervention major group area."
"F12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Mental Health, Crisis Intervention major group area."
"F19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within Mental Health, Crisis Intervention major group area."
"F20","Substance Abuse Dependency, Prevention & Treatment","Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services."
"F21","Substance Abuse Prevention","Organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol."
"F22","Substance Abuse Treatment","Organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs."
"F30","Mental Health Treatment","Organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. Use this code for types of mental health organizations not specified below or for organizations that combine multiple types of care within the same facility."
"F31","Psychiatric Hospitals","Organizations that provide diagnostic and inpatient treatment services for individuals who have acute or chronic mental or emotional disturbances, who require hospitalization."
"F32","Community Mental Health Centers","Neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances."
"F33","Residential Mental Health Treatment","Organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate."
"F40","Hot Lines & Crisis Intervention","Organizations that provide in-person or telephone assistance for people who are in acute emotional distress; who are a danger to themselves or to others; who are having suicidal feelings; or who are hysterical, frightened or otherwise unable to cope with a problem that requires immediate action. Use this code for crisis intervention services or hotlines not specified below or for organizations that offer multiple types of crisis intervention, hotline services."
"F42","Sexual Assault Services","Organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted."
"F50","Addictive Disorders N.E.C.","Organizations that provide counseling, medical treatment (where indicated) and other supportive services for individuals who have a psychological dependency involving a particular pattern of behavior, e.g., spending money, sexual compulsions and workaholic behavior."
"F52","Smoking Addiction","Organizations that utilize a variety of techniques to help people who wish to control their dependence on nicotine and give up substances containing nicotine. Also included are smoking education/prevention programs that help persuade people to avoid the habit before they start."
"F53","Eating Disorders & Addictions","Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder."
"F54","Gambling Addiction","Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble."
"F60","Counseling","Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life."
"F70","Mental Health Disorders","Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder."
"F80","Mental Health Associations","Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness."
"F99","Mental Health & Crisis Intervention N.E.C.","Use this code for organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"G","Voluntary Health Associations & Medical Disciplines",NA
"G01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Voluntary Health Associations and Medical Disciplines major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"G02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Voluntary Health Associations and Medical Disciplines major group area."
"G03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Voluntary Health Associations and Medical Disciplines major group area."
"G05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy research within the Voluntary Health Associations and Medical Disciplines major group area."
"G11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Voluntary Health Associations and Medical Disciplines major group area."
"G12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Voluntary Health Associations and Medical Disciplines major group area."
"G19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Voluntary Health Associations and Medical Disciplines major group area."
"G20","Birth Defects & Genetic Diseases","Voluntary health organizations active in the prevention or treatment of illnesses or conditions that are hereditary and passed from parent to offspring. Use this code for organizations that focus on a wide variety of genetic disorders or on genetic disorders not specified below."
"G25","Down Syndrome","Voluntary health organizations active in the prevention or treatment of Down Syndrome, a hereditary condition that results in intellectual disability."
"G30","Cancer","Voluntary health organizations active in the prevention or treatment of cancer. The associated medical specialty is medical oncology, a subspecialty of internal medicine."
"G32","Breast Cancer","Voluntary health organizations active in the prevention or treatment of breast cancer."
"G40","Diseases of Specific Organs","Voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. Use this code for organizations that focus on diseases that affect a wide range of organs or organ systems or on those not specified below."
"G41","Eye Diseases, Blindness & Vision Impairments","Voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology."
"G42","Ear & Throat Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the head and neck including the ears, the respiratory and upper alimentary systems, the face, the jaws and related structures. The related medical specialty is otolaryngology."
"G43","Heart & Circulatory System Diseases & Disorders","Voluntary health organizations active in the prevention or treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine."
"G44","Kidney Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine."
"G45","Lung Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the lungs. The related medical specialty is pulmonary disease specialists."
"G48","Brain Disorders","Voluntary health organizations active in the prevention or treatment of diseases or conditions including brain injuries that affect the brain."
"G50","Nerve, Muscle & Bone Diseases","Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the nerves, muscles or bones. Use this code for organizations that focus on a wide variety of nerve, muscle and bone diseases or those not specified below. The related medical specialty is orthopedic surgery."
